cd,inc_medianHHI,inc_meanHHI,inc_perCapita,popEmp_16plusTotalPop,popEmp_civilianLaborForce,popEmp_civLaborForceEmployed,popEmp_civLaborForceUnemployed,popEmp_armedForces,civInd_16plusTotalEmpl,civInd_AgricultureForestryFishingHuntingMining,civInd_Construction,civInd_Manufacturing,civInd_Wholesale,civInd_Retail,civInd_TransportWarehousingUtilities,civInd_Information,civInd_FinanceInsuranceRealestate,civInd_ProfessionalScientificManagementAdministrationWaste,civInd_EducationHealthSocial,civInd_ArtsEntertainRecAccommodateFood,civInd_Other,civInd_Publicadmin,civHealth_nonInstTotalPop,civHealth_covered,civHealth_private,civHealth_public,civHealth_none
CA-13,68434,89797,27303,591323,363477,329456,34021,331,329456,41853,26539,26228,7412,34434,26469,2151,7980,30536,73522,26737,12330,13265,776461,720488,384384,409974,55973
CA-14,137402,180447,62731,598369,401853,383488,18365,291,383488,1271,21464,42292,8906,31677,20682,12074,20215,81320,82161,29996,16872,14558,724977,699677,545564,220874,25300
CA-15,151494,210859,76084,608619,413616,395536,18080,153,395536,1234,21023,27236,6120,32316,24082,17674,23637,88226,84743,36119,17290,15836,719784,692865,540953,236814,26919
CA-16,181659,264350,98259,623621,406864,389073,17791,553,389073,1871,15974,50284,4358,25042,11256,27572,18078,96242,92603,23408,13517,8868,748098,727704,606577,201779,20394
CA-17,181913,234850,88446,638438,450856,427180,23676,93,427180,439,15669,73256,6282,32215,16466,30577,14864,117304,71565,27996,11873,8674,759117,735878,603709,190888,23239
CA-18,103010,137691,41253,602733,396133,375146,20987,1471,375146,33206,30562,37877,8141,37322,17436,6373,12605,53154,73418,29788,18535,16729,754204,696971,425149,334945,57233
CA-19,124559,171241,63775,625261,379637,360005,19632,3967,360005,6779,22909,37169,4274,30323,12167,7933,14522,61387,92956,38041,15251,16294,734266,708328,547676,262295,25938
CA-20,90892,110088,38556,628406,389716,361248,28468,7055,361248,14911,24594,21243,7603,35330,23280,4713,13819,32646,107187,29525,14116,32281,804195,769432,547172,324296,34763
CA-21,66399,87648,27064,578114,364001,327476,36525,638,327476,32325,21092,25479,7658,33122,22422,3634,10895,27691,81863,32692,12464,16139,768024,711776,357301,435048,56248
CA-22,60072,77580,22730,579027,336001,299869,36132,2268,299869,52454,22371,15217,4827,32583,26207,1805,6126,21601,63488,22790,15830,14570,740498,669906,268447,450302,70592
CA-23,77137,96491,33234,595219,332218,306478,25740,12695,306478,4688,22120,17579,6625,33180,30882,5131,10631,28688,83608,29549,12669,21128,734873,682224,385726,372978,52649
CA-24,98127,136053,49079,625961,374014,353212,20802,3591,353212,20505,18647,25839,5881,32608,14432,5430,15422,43462,93672,41366,18934,17014,742358,692966,486468,316289,49392
CA-25,69516,91359,30004,623921,353487,331622,21865,583,331622,17336,27840,18223,6583,42549,23704,2689,10451,33957,71452,42489,17205,17144,777520,721001,350371,441550,56519
CA-26,120711,155500,52602,611895,397888,375555,22333,2674,375555,19604,18730,39365,6135,36557,12872,9410,23362,48066,89562,35909,15699,20284,747640,704437,515243,280007,43203
CA-27,103643,133615,42089,583202,369697,343909,25788,513,343909,2911,21971,32599,5186,34733,22269,12449,18466,36896,87508,31226,17765,19930,742398,699982,477851,293611,42416
CA-28,111299,156357,56809,628512,407453,389453,18000,59,389453,1455,17734,25529,11629,31911,20608,14072,28653,56236,98741,43107,21725,18053,746351,719835,521261,267653,26516
CA-29,76888,99033,33220,597591,408684,380857,27827,205,380857,2206,36811,28915,6740,40244,23422,16846,16088,48107,77549,46982,25619,11328,720451,656459,338164,361984,63992
CA-30,89846,131463,62066,649642,460212,426888,33324,150,426888,1705,16194,18125,6808,33715,14725,43626,29749,83403,85995,58189,24655,9999,736852,688891,479555,267010,47961
CA-31,90291,114142,36188,595455,374004,355520,18484,294,355520,3296,25613,33527,13372,36862,25303,5710,17037,37278,85753,36886,17774,17109,720799,667638,404886,317460,53161
CA-32,108176,171607,68643,639385,427590,401862,25728,742,401862,1130,22369,24042,8424,32476,15390,29598,33743,70035,96457,41048,17577,9573,759219,719706,522042,272038,39513
CA-33,90288,113144,33159,602984,384443,366334,18109,67,366334,2880,29293,29924,9461,45974,45524,4328,13926,37311,79525,31225,20493,16470,778592,720311,419916,352920,58281
CA-34,63879,91652,34562,639797,420361,391357,29004,56,391357,1887,27836,28202,10128,37232,24320,17493,14759,51236,74867,63686,28495,11216,744400,651978,317756,371335,92422
CA-35,94230,113329,34063,612078,400577,377425,23152,1192,377425,3566,27463,36127,11857,44629,41181,3993,18319,43641,77990,35008,14303,19348,754764,692647,436982,306543,62117
CA-36,131181,193088,84641,640580,429179,404777,24402,1286,404777,623,11820,30196,7636,27513,13703,33667,34404,89920,91989,40150,14035,9121,750173,725188,590596,215401,24985
CA-37,69595,107561,38382,606571,391525,363148,28377,62,363148,761,25967,24951,8435,33407,21689,18317,14699,57459,80982,41964,23814,10703,741890,670370,339383,375637,71520
CA-38,101415,125979,39903,590821,371347,354904,16443,56,354904,1988,22698,30681,11586,33305,30893,6653,17345,34251,94582,38345,14486,18091,719780,677898,450559,285959,41882
CA-39,91174,108810,32151,622222,407922,381570,26352,543,381570,3927,38169,30594,9054,49829,38607,3009,15884,40599,86361,33283,15561,16693,777638,706715,423476,337659,70923
CA-40,134956,171780,62469,613318,397357,381033,16324,655,381033,2283,15903,42182,10362,37831,13673,8125,35106,62654,91478,31312,17113,13011,741807,711427,556383,233451,30380
CA-41,101842,134578,46948,666999,392086,371574,20512,2577,371574,3586,34782,28130,7555,39295,23626,4835,23909,43678,84119,40139,16634,21286,815542,766925,528517,338308,48617
CA-42,81927,105539,36737,590582,389139,367875,21264,440,367875,2787,25055,36927,11435,37597,29997,5354,14602,43620,86605,42265,16666,14965,718385,657162,369696,331106,61223
CA-43,75336,97737,32568,576421,376175,349026,27149,228,349026,2647,24138,33672,9498,37404,33939,6612,13954,39071,73156,39378,20844,14713,717109,658147,346064,367679,58962
CA-44,90834,114361,36957,602405,385003,362316,22687,923,362316,1185,25111,37378,8413,34301,36720,6272,13924,41320,88534,33132,20836,15190,736702,676692,389901,338000,60010
CA-45,105531,134094,43924,614591,385785,368613,17172,370,368613,2791,22431,45749,9713,35736,16425,6195,22211,41629,89220,40662,23486,12365,738900,701003,455404,306037,37897
CA-46,90685,110472,33131,616538,416459,398361,18098,503,398361,5182,34826,45127,9090,47879,19678,5080,21748,47503,76403,48195,25981,11669,757746,683834,371808,352729,73912
CA-47,127773,175621,69507,632464,418228,400774,17454,151,400774,1498,16921,45728,9710,37400,14651,8058,42880,76570,88058,34441,13738,11121,755053,724324,557740,239670,30729
CA-48,114972,143569,48933,606498,381315,364153,17162,5943,364153,5153,36634,32149,5692,34411,20079,6139,18196,51131,83282,36940,16107,18240,757576,717596,523135,275625,39980
CA-49,121511,169830,64830,621673,387996,373071,14925,26266,373071,4911,19467,30015,8183,39477,14319,9644,26115,73561,74595,39183,19749,13852,719494,685809,508951,258709,33685
CA-50,121243,166357,70405,644953,418588,396707,21881,13090,396707,1007,15549,37332,6558,31519,14306,9015,28606,93163,91627,37761,13659,16605,741601,705814,556518,232492,35787
CA-51,113978,143268,53887,629573,414892,391678,23214,13550,391678,1863,19080,36425,5002,33297,20158,7382,24504,71949,96872,39374,16693,19079,748332,714976,537696,257108,33356
CA-52,85163,110467,35849,606891,372992,350795,22197,20852,350795,1868,30659,29029,6632,36470,18893,3606,16239,42346,80065,42860,18683,23445,729484,669126,416134,322877,60358
CO-01,93102,138396,65881,620937,458099,438570,19529,949,438570,3547,29729,22224,9064,33803,20250,16420,36769,96432,95932,35936,21975,16489,728698,660875,491555,220324,67823
CO-02,100659,141224,62291,622079,422928,405788,17140,83,405788,5729,21643,32832,4823,37837,12151,10173,23427,74516,94776,50192,21375,16314,724670,684934,569009,200513,39736
CO-03,71165,95006,40997,619180,374881,358469,16412,206,358469,14422,31865,17844,5047,40398,18102,5468,17473,38606,90378,36020,17954,24892,733429,670998,455888,318883,62431
CO-04,120070,154539,59045,632006,431301,417145,14156,1046,417145,12612,30912,32615,9304,36737,21620,13783,36474,66435,86642,28770,18302,22939,779439,733850,597616,216396,45589
CO-05,91125,117950,47391,598015,372169,353097,19072,35480,353097,1666,27476,19996,5136,34914,19841,5875,23550,52472,86391,32555,22036,21189,705512,648798,499811,252328,56714
CO-06,103252,136698,54622,591480,421239,399000,22239,4100,399000,3724,33257,21084,8086,39050,28322,9481,32698,64365,90342,33259,16976,18356,721767,645256,501134,217642,76511
CO-07,104378,143596,62132,616727,412322,397220,15102,751,397220,4592,29892,31728,7265,33849,18468,10071,25739,71611,84720,38568,19553,21164,712943,669896,528820,216548,43047
CO-08,100033,121459,44231,601533,431329,412799,18530,1166,412799,7862,44312,34717,10821,49001,27602,7212,18389,51193,83524,34124,20633,23409,752465,680594,502950,243440,71871
CT-01,85466,113841,47069,609338,406916,386465,20451,825,386465,1173,19727,39751,6961,40549,21577,5958,34774,42966,105401,31264,19073,17291,726974,686402,471276,293563,40572
CT-02,98155,128705,52821,615250,391936,377368,14568,6020,377368,2874,21965,50572,4051,41408,17283,5411,28490,39622,99635,36209,14789,15059,714367,683318,518785,260332,31049
CT-03,91435,123795,50662,622857,410340,385813,24527,308,385813,224,22926,37959,6589,43410,19736,7133,22429,42554,126419,26112,17396,12926,735953,699267,488611,292572,36686
