cd,inc_medianHHI,inc_meanHHI,inc_perCapita,popEmp_16plusTotalPop,popEmp_civilianLaborForce,popEmp_civLaborForceEmployed,popEmp_civLaborForceUnemployed,popEmp_armedForces,civInd_16plusTotalEmpl,civInd_AgricultureForestryFishingHuntingMining,civInd_Construction,civInd_Manufacturing,civInd_Wholesale,civInd_Retail,civInd_TransportWarehousingUtilities,civInd_Information,civInd_FinanceInsuranceRealestate,civInd_ProfessionalScientificManagementAdministrationWaste,civInd_EducationHealthSocial,civInd_ArtsEntertainRecAccommodateFood,civInd_Other,civInd_Publicadmin,civHealth_nonInstTotalPop,civHealth_covered,civHealth_private,civHealth_public,civHealth_none
IL-05,111545,161984,74243,644748,475495,458605,16890,0,458605,1022,16729,36870,9895,37036,22945,13644,54223,97659,98128,34633,21539,14282,768152,732699,624377,178892,35453
IL-06,96658,130603,52111,614993,392211,374686,17525,131,374686,554,24022,31766,9313,37587,32940,6818,30427,47205,88861,29085,22022,14086,758996,712393,561829,240288,46603
IL-07,90223,130291,58777,636109,445316,413671,31645,552,413671,965,13353,31499,7908,31480,29978,8036,43913,80650,94083,39368,18148,14290,756546,694200,481051,267131,62346
IL-08,96230,119449,45435,612521,426950,412625,14325,193,412625,904,25791,54517,12165,40153,33499,8520,30739,57213,84525,35802,19251,9546,748644,687453,529303,225336,61191
IL-09,90111,135383,58140,616188,411246,391550,19696,489,391550,903,13919,35157,7780,34505,23382,8883,33057,63310,103667,32952,23281,10754,729460,673169,524251,223144,56291
IL-10,103955,157154,58808,604365,390291,369462,20829,11870,369462,1060,17838,57360,12625,42420,19880,5253,27696,54479,73196,30175,17131,10349,730772,685443,533818,233678,45329
IL-11,108620,140893,53367,623362,428285,411272,17013,146,411272,2024,20900,48527,10300,45674,25462,7927,31915,62305,90947,32630,20283,12378,761856,719483,590343,211547,42373
IL-12,70903,90459,37542,605774,358568,343396,15172,4103,343396,16193,23143,46398,7104,35317,18990,3396,18150,25207,87200,24402,14696,23200,721083,684642,495889,305713,36441
IL-13,64968,85254,37975,610217,379053,362329,16724,1863,362329,4271,17731,33210,6030,34804,25075,4609,20544,35338,106767,34201,14980,24769,731884,693536,508399,280031,38348
IL-14,98492,118362,43514,619922,428275,406029,22246,375,406029,4256,23227,47874,11117,52124,34728,5688,25181,46093,86768,36009,18860,14104,758719,714079,569638,220699,44640
IL-15,74855,96307,41259,609039,363689,351584,12105,264,351584,15792,22652,42537,7074,36996,20399,3147,22038,23590,94590,26108,16888,19773,720225,684167,513275,287488,36058
IL-16,85435,106110,43847,602668,375265,361800,13465,479,361800,9389,22928,58427,8262,36800,21618,3802,27601,31455,82669,25512,18350,14987,744588,712736,564157,261070,31852
IL-17,60530,78413,33796,607763,371060,351632,19428,742,351632,5606,19777,54780,7270,38998,19850,4723,21271,30363,85231,32806,15912,15045,725166,679341,460814,311129,45825
IN-01,75199,99035,39577,614547,374397,354472,19925,511,354472,1488,24340,55440,6956,36226,28049,3737,18794,33371,83074,32373,17454,13170,748389,697858,501214,297002,50531
IN-02,66934,85852,34029,596875,374211,356948,17263,184,356948,4651,22401,90420,6286,33183,18874,3549,11480,27666,84992,28190,14757,10499,742164,671652,477154,278790,70512
IN-03,71542,93667,37672,608030,399454,384066,15388,48,384066,6343,26332,91143,8076,40704,22069,4735,17732,31399,81271,27685,18978,7599,767535,689577,492358,280110,77958
IN-04,78399,100891,39954,633917,405621,391479,14142,578,391479,7393,26181,71024,7065,37101,29729,5021,14748,38801,94174,30013,15866,14363,774434,728645,565436,248961,45789
IN-05,80542,113280,45960,634636,411668,394767,16901,676,394767,2893,22242,56395,8895,41649,17131,4678,29426,45068,103036,33371,17173,12810,781238,741073,561814,273596,40165
IN-06,77374,97208,38963,617698,405987,393480,12507,776,393480,4264,27454,63318,7049,45368,29581,4976,20453,38340,87602,32521,18909,13645,766471,707402,521815,273226,59069
IN-07,64843,89719,37993,594345,411677,391001,20676,662,391001,1802,24130,42121,7340,44767,35179,4888,22377,51721,88059,32426,18282,17909,750018,675337,437496,311483,74681
IN-08,65297,87610,36557,614137,373700,358540,15160,341,358540,8656,26222,67949,6508,36617,22933,4373,16322,23352,85833,28725,16671,14379,743028,690608,494540,300736,52420
IN-09,70510,92270,38062,627857,394953,381426,13527,339,381426,4290,24834,64877,8933,41318,22650,4886,19431,30554,91834,36875,16252,14692,755561,713879,537932,272263,41682
IA-01,72200,96351,40596,651986,421736,408266,13470,426,408266,13371,24339,60801,7351,46223,21406,4764,22767,30141,112274,30326,18985,15518,791948,756814,571362,297895,35134
IA-02,75299,93814,40040,643678,426261,414580,11681,658,414580,16290,30512,71920,8463,47768,20593,6388,29289,30725,98874,25927,16182,11649,786789,745111,566875,292998,41678
IA-03,80284,104088,43693,661324,459931,443527,16404,655,443527,11135,31758,45744,8412,51115,22377,5791,53051,41827,101381,29819,20904,20213,828102,778140,590287,285148,49962
IA-04,73295,91411,37668,644831,421225,407760,13465,419,407760,22957,28593,65358,9700,47641,20178,5480,21092,25061,100063,30171,16930,14536,789113,741774,552962,295071,47339
KS-01,67677,89422,36714,589164,381709,368822,12887,8244,368822,26334,24471,40147,7651,33153,18572,5631,16168,26546,99230,32189,18433,20297,710183,644224,531029,212411,65959
KS-02,68050,87287,35797,581993,368047,353819,14228,9479,353819,7946,26141,45159,7062,38455,25820,4709,20279,28127,84975,23868,16553,24725,717860,651776,507203,253346,66084
KS-03,101317,136199,55268,604169,427212,413751,13461,299,413751,2434,25937,36719,12281,44179,23496,9651,35292,66782,99853,27144,16592,13391,748672,701054,600773,177054,47618
KS-04,70671,94664,38246,590427,377466,360972,16494,4296,360972,7080,23971,65828,6019,36528,21161,3892,17835,30093,89658,26798,18088,14021,730416,661961,506883,245620,68455
KY-01,57974,75837,31431,609786,346484,333252,13232,7336,333252,8212,24701,60483,4984,36589,20049,3787,14435,23601,77151,23612,17350,18298,738538,680819,447337,344598,57719
KY-02,68629,90768,36316,620689,370329,352382,17947,4688,352382,6646,25262,63263,5662,41831,25337,2989,15347,26872,82623,25692,15925,14933,762225,706790,495212,322903,55435
KY-03,68989,93703,40065,612541,401571,376884,24687,954,376884,2406,18720,48170,9962,37605,35444,6090,29904,38119,89406,33516,16532,11010,755302,704241,488375,311261,51061
KY-04,81874,109614,42915,620974,395556,377858,17698,248,377858,5194,29973,53347,6663,33678,29166,2895,27064,43263,86581,30483,14675,14876,764882,722267,538003,276984,42615
KY-05,46664,62108,25715,597353,286645,270703,15942,204,270703,7841,17920,32116,4173,31034,19930,2723,10612,16654,77099,18758,14053,17790,717559,670112,357866,409396,47447
KY-06,68419,94087,38725,630312,409386,391253,18133,572,391253,7541,21671,52642,7495,43726,19871,3703,18214,37216,107195,34849,19033,18097,769291,714805,516041,294996,54486
LA-01,79823,109659,44591,635576,407897,392135,15762,1386,392135,7314,39016,26893,10649,35564,22774,5563,22415,51664,99093,36385,16680,18125,792052,730113,519340,305450,61939
LA-02,58115,81375,34706,596139,361423,342067,19356,2108,342067,2728,27162,25147,4965,37258,22815,5557,13231,37408,86127,40105,18198,21366,722589,654539,380619,348109,68050
LA-03,59769,87602,35363,609402,367687,350390,17297,483,350390,23131,29504,30269,9732,38065,22114,3889,18019,35527,73424,36153,17881,12682,771060,709539,449503,349312,61521
LA-04,60858,84629,34376,611802,335391,319307,16084,9625,319307,12212,24641,25454,5876,37463,18732,4046,15644,30371,86030,23679,14307,20852,738850,691598,456191,343863,47252
LA-05,59583,84689,34098,612807,357425,340188,17237,148,340188,6728,32629,27830,7769,33128,24159,3050,20553,33324,84488,31604,13329,21597,740340,694533,443288,346327,45807
LA-06,50642,70711,28986,591466,346368,319997,26371,1080,319997,8900,22101,19169,5867,38322,20377,4211,15465,25530,94053,30151,16286,19565,740329,676853,379026,394025,63476
ME-01,90131,118628,52080,600745,386011,375446,10565,2118,375446,6283,28161,36207,6025,40016,14768,6341,27762,48644,98150,33315,17602,12172,698453,670042,519193,251467,28411
ME-02,67291,86662,38390,589777,347770,338353,9417,855,338353,9513,25756,27724,6403,46068,15040,3785,18978,29555,100533,24483,14044,16471,687904,639451,433163,314843,48453
MD-01,95306,119134,48264,649259,420300,403078,17222,2278,403078,4774,29970,27863,8477,36658,20251,4598,25511,50465,100021,33598,24169,36723,780873,749122,580563,299047,31751
MD-02,94537,127313,50904,632049,419018,401831,17187,1365,401831,1133,25561,23184,6443,37634,17289,4971,27179,57437,122057,26372,18722,33849,773999,738112,589532,273463,35887
MD-03,136641,167573,63715,632438,429369,414507,14862,12811,414507,1923,29162,23207,7037,37652,17068,6979,23861,81047,97178,27514,18770,43109,765199,728545,614770,233522,36654
MD-04,87647,112654,41866,611828,421871,398192,23679,2150,398192,80,41438,9792,3659,30924,28300,7278,17671,58046,91073,41202,22667,46062,757727,655664,462079,289479,102063
MD-05,128699,154399,56689,642744,432811,416483,16328,12213,416483,2574,29354,11404,5252,34471,23445,8815,18365,64636,90262,26954,21487,79464,783822,750655,640117,229948,33167
MD-06,105125,133318,50002,661044,442465,427014,15451,3468,427014,2657,30894,26484,5990,44026,19122,7957,21368,76728,95310,33714,22006,40758,804736,756386,592058,273834,48350
MD-07,66738,88083,39333,605834,401239,376356,24883,409,376356,931,17300,14439,5628,37873,26029,5348,19637,51466,111529,33145,17825,35206,734272,680785,447753,330712,53487
MD-08,146362,198170,74172,624189,430127,412109,18018,2352,412109,553,20728,12773,3501,31591,11275,11407,25393,98676,93920,33498,24831,43963,766942,717560,592766,228209,49382
MA-01,75462,98081,41190,649200,397889,382031,15858,406,382031,2162,24636,39624,5862,42127,24297,5367,22694,37077,114845,27973,17242,18125,773680,755238,522645,358308,18442
MA-02,97024,130991,51736,673171,446606,428273,18333,378,428273,2499,27069,42731,6461,44989,17280,6431,26975,55592,133541,31078,15970,17657,794489,777180,593794,290637,17309
MA-03,98501,128444,48899,639908,430082,409076,21006,484,409076,2763,29748,57223,7139,35703,17075,8503,20097,66644,100821,30934,18445,13981,780652,753056,514473,332912,27596
MA-04,115485,162222,63092,661825,449566,434302,15264,261,434302,1341,33690,36608,9508,46123,15399,7176,36109,64025,116624,32382,18704,16613,796382,772979,610875,267859,23403
MA-05,136612,187485,73022,658312,463878,446013,17865,1353,446013,1520,24662,34180,5715,32459,14955,8681,34040,95320,125443,36972,16713,15353,784036,762616,606830,241032,21420
MA-06,121409,163479,63098,656040,443897,427314,16583,259,427314,3109,25835,38953,8356,42861,16866,6738,31650,71263,114569,29813,17700,19601,790933,772461,605568,282122,18472
MA-07,98603,132111,53506,682952,474669,453963,20706,805,453963,987,18720,29954,5489,34060,19245,10115,29538,84168,140862,44327,19046,17452,785119,757469,530071,295953,27650
MA-08,118563,161718,67349,655919,466557,448434,18123,476,448434,673,22335,28601,7852,40569,18119,10174,46682,75632,131853,28935,18256,18753,778450,756478,599783,253150,21972
MA-09,101312,136299,58029,676494,421243,402384,18859,1625,402384,2610,33662,24380,6333,46615,17945,6108,29463,54300,104078,35176,19882,21832,787081,764756,586321,324358,22325
MI-01,64299,85557,38584,670517,368051,356328,11723,1377,356328,8627,30054,40555,5480,46115,17297,4627,17361,28520,83335,38458,17923,17976,771935,728060,525591,365098,43875
MI-02,66726,88085,35196,649302,370769,355647,15122,531,355647,9672,26849,64847,6475,41068,15673,4407,14618,25693,82793,32650,16416,14486,773421,727163,527102,329819,46258
MI-03,77215,105356,41994,639228,431037,412479,18558,546,412479,3278,19301,71137,11124,43101,18287,6113,22035,45574,101798,39095,20404,11232,782111,741112,557148,274766,40999
MI-04,73702,99177,40001,633907,404031,390359,13672,371,390359,4841,22051,81776,6446,47847,15754,3134,19155,35449,86974,37033,18083,11816,779395,740971,564536,278024,38424
MI-05,70684,90018,37093,633758,375845,360208,15637,198,360208,7564,26673,79138,5326,38440,17775,2983,15278,27880,81005,27765,17013,13368,760031,715321,530212,313241,44710
MI-06,96954,129279,53669,639646,407032,391133,15899,219,391133,1330,14685,67797,5771,31558,17192,5616,19483,49815,119786,33540,13345,11215,762226,737711,608428,231907,24515
MI-07,80268,105635,43592,656012,423958,408173,15785,785,408173,3462,22682,55670,6105,42981,18760,5622,26853,43158,105149,35370,19315,23046,786820,753795,615038,262603,33025
MI-08,64576,84637,36037,627600,375338,353302,22036,201,353302,3098,22250,57463,5590,41176,16073,4326,17347,34194,90381,31016,18467,11921,761817,722095,501381,356020,39722
MI-09,87017,112566,44867,637507,391809,379100,12709,389,379100,5032,31930,81064,5094,39626,14269,4344,20918,35081,78808,31919,15956,15059,776097,743560,591899,282314,32537
MI-10,74512,98934,41760,640919,407923,388294,19629,1113,388294,2040,19550,76781,7563,40188,20916,4898,24971,46464,79522,34159,17414,13828,769774,732943,540653,306953,36831
MI-11,92977,130401,56448,657259,443450,424910,18540,305,424910,772,21998,78184,7241,37903,13574,7151,33387,68612,90845,34466,18755,12022,782436,747540,606651,247032,34896
MI-12,57324,78096,32598,600465,352723,329624,23099,0,329624,757,13735,53540,5683,38636,23669,3923,18519,38922,77373,30416,14762,9689,748385,711097,419713,393440,37288
MI-13,50937,75109,30766,616264,357129,329644,27485,499,329644,991,20441,56981,5273,34051,23614,4283,16785,35475,72436,32301,17188,9825,778964,724284,407054,410146,54680
MN-01,78573,103124,43133,581320,389151,377611,11540,369,377611,15287,24328,48496,6992,43016,15964,5843,16531,25759,120157,26358,16254,12626,707480,670742,540463,246267,36738
MN-02,108162,133397,50851,591686,423762,409410,14352,372,409410,3256,25225,57132,9549,41914,22184,6110,33489,46741,95484,31611,21452,15263,741867,705742,579767,222967,36125
MN-03,106557,152044,62393,568886,395429,381533,13896,242,381533,1993,17136,52346,8342,43400,17637,5452,39889,57989,88665,23923,14009,10752,706041,674839,554878,210749,31202
MN-04,84731,113148,46759,566384,379701,363882,15819,331,363882,1396,14086,44711,5578,36464,17865,3772,30504,40411,107202,30461,16732,14700,701940,664734,485309,269423,37206
MN-05,80274,111875,50937,580267,417522,396908,20614,73,396908,2283,14412,40000,6173,43890,19534,6826,33327,61993,102029,36299,16388,13754,698702,654006,481469,240204,44696
MN-06,105084,128072,48302,596157,429430,415015,14415,691,415015,4473,36544,62101,8896,48421,22223,3805,28721,39299,100805,26117,17768,15842,748984,719747,587403,231936,29237
MN-07,74454,94863,39911,579350,374843,363472,11371,641,363472,24861,34045,52131,10690,39305,16871,3962,18134,23021,87225,21151,18912,13164,712276,673881,502487,293798,38395
MN-08,74635,96561,41313,599237,364505,348479,16026,896,348479,8244,32316,34520,4878,40295,16797,3452,17468,27345,96957,31311,15851,19045,715058,677829,509672,298625,37229
MS-01,60524,83095,33297,603390,363749,350099,13650,1225,350099,4611,23259,53862,4895,37176,29939,3510,18719,30622,88162,27131,16896,11317,745031,679486,499390,276198,65545
MS-02,47495,66891,27380,558898,309939,292275,17664,696,292275,7712,18449,34780,6164,34670,20147,1830,9143,26121,80689,25059,12003,15508,674628,601880,369780,322938,72748
MS-03,66380,87797,35450,591922,352622,337950,14672,1773,337950,7649,21854,39949,8403,36644,24375,3980,17485,27264,91337,25621,14370,19019,722494,661676,464511,282555,60818
MS-04,62159,84966,34500,607009,351354,333902,17452,9487,333902,6625,26054,33419,5382,38378,18921,3998,15830,29283,88550,40081,12316,15065,741625,660857,469755,292769,80768
MO-01,60692,91934,42593,608783,399512,380316,19196,588,380316,1329,15943,31129,6642,35213,21260,6562,29388,54048,108734,38971,17807,13290,734823,675160,466768,283777,59663
MO-02,101494,138480,57064,627292,413818,403726,10092,585,403726,2982,23655,42973,9500,42490,18085,6844,42608,55945,99121,31097,18490,9936,766474,739051,601003,219286,27423
MO-03,84323,105621,42544,653265,420192,408521,11671,998,408521,4505,31610,49567,8398,42714,21424,6205,29900,39798,99214,32674,18591,23921,786224,746156,601140,246279,40068
MO-04,68144,88278,35732,630866,376907,364725,12182,15839,364725,9213,29220,42087,6454,45233,20241,4544,23710,29337,91043,28490,18679,16474,760147,690529,498572,293451,69618
MO-05,67960,89987,39411,624861,417631,403852,13779,764,403852,1307,21427,38771,7854,38514,26952,6220,34310,54231,98981,38965,17133,19187,770617,693366,512646,254792,77251
MO-06,75637,94972,37760,630688,393043,382469,10574,1134,382469,12060,26385,49538,6484,46382,24037,4865,23002,31673,94673,27781,16438,19151,771871,712487,549744,261346,59384
MO-07,66064,87693,35848,647545,402999,388918,14081,744,388918,6524,30318,40033,8407,54385,21563,4257,22217,35659,97712,36743,20657,10443,794078,713517,494922,311147,80561
MO-08,59897,78776,31644,625896,361618,349651,11967,764,349651,11358,28408,44076,5226,39946,20205,3933,18225,26623,94623,24323,19166,13539,759318,698400,466891,333603,60918
MT-01,77017,105598,45279,485109,306081,298340,7741,175,298340,13527,31017,15298,5162,36047,12179,4530,14903,32728,69324,37008,13512,13105,573000,522319,384322,218195,50681
MT-02,73599,97492,41153,451829,283331,273610,9721,2908,273610,19056,21838,10564,5410,31257,16504,4161,14683,24035,61313,27278,13719,23792,548105,500684,363952,221906,47421
NE-01,77659,97791,39858,535315,364153,353043,11110,4762,353043,9687,26076,36255,5792,33604,19915,4804,26651,36798,87878,29415,17222,18946,661263,615623,496529,205207,45640
NE-02,84478,112634,44957,530699,373019,357815,15204,1739,357815,3563,26830,29260,7440,37391,17303,7340,38485,44241,92851,26742,16999,9370,675606,626691,499283,195597,48915
NE-03,69788,90529,38106,519000,344681,334210,10471,645,334210,33201,22102,39349,7246,35512,21961,3572,16259,21183,77807,23887,16303,15828,640340,595064,455705,229934,45276
NV-01,72138,99468,38534,644502,414232,386833,27399,1378,386833,1294,32527,16771,6039,43690,31641,5399,21245,45561,62373,89999,16176,14118,788567,680834,457876,307176,107733
NV-02,86806,120035,48498,661392,417282,394389,22893,2354,394389,14699,33946,31672,7843,41642,23307,3010,15719,51775,78040,51690,17957,23089,790846,712878,538961,274967,77968
NV-03,90358,119968,48487,700965,463112,438489,24623,2331,438489,1851,23697,16688,7770,44759,33531,8680,30387,61177,71382,107505,17938,13124,835908,748916,566348,267208,86992
NV-04,75889,96505,34638,655633,410746,378512,32234,8454,378512,4706,34380,14320,8307,37575,32084,5424,21213,46439,63690,72816,19561,17997,813326,719413,500824,316994,93913
NH-01,102258,130517,54191,600902,403963,393431,10532,757,393431,1675,29779,49032,7060,46642,15409,5809,25889,53135,93430,30849,19176,15546,701535,672974,544962,230812,28561
NH-02,97020,126666,51922,593388,387389,375949,11440,580,375949,3441,28118,51524,6655,39559,14475,6708,19640,46000,99381,27196,17236,16016,691324,657562,524599,230954,33762
NJ-01,94772,118336,45979,638405,427204,403094,24110,999,403094,1029,23487,28373,8220,53368,24612,7775,25607,53612,109050,30706,18424,18831,778650,741644,552833,284613,37006
NJ-02,84183,112545,43645,652852,402296,378223,24073,1835,378223,2100,28984,24052,7950,43454,22453,6190,22561,37522,95874,48112,15884,23087,780125,732169,535914,325231,47956
NJ-03,116950,150478,56795,654728,432259,409386,22873,4708,409386,974,24342,26851,12509,41828,24894,9008,32269,59631,102847,28003,17130,29100,780471,742069,624498,226353,38402
NJ-04,103769,138441,51881,619200,377001,360650,16351,529,360650,716,24110,19698,8956,46086,20231,8329,27766,49023,93517,27195,16310,18713,789511,754245,548655,328621,35266
NJ-05,130387,175294,65553,652152,431214,414142,17072,159,414142,1386,22238,30293,11310,40526,18963,13054,39464,68158,106834,27525,20968,13423,787168,743093,605115,226740,44075
NJ-06,104316,135280,49920,650522,443248,414568,28680,353,414568,731,21590,32933,11493,46484,33134,9895,35028,61813,100193,28839,17928,14507,780053,720027,551782,246162,60026
NJ-07,132702,179100,68972,645905,442110,422390,19720,0,422390,1959,23071,40978,10022,37370,21164,12323,42479,70136,103417,25256,19074,15141,784455,754304,649785,203687,30151
NJ-08,88096,133643,52670,635936,451672,426508,25164,817,426508,432,33313,31293,11432,36290,35294,12147,48113,70999,75415,39594,18132,14054,775619,644947,439004,248589,130672
NJ-09,87122,118076,42981,621004,417178,392712,24466,147,392712,301,24361,35877,10674,45735,32036,8891,26374,56811,87391,32211,20838,11212,769822,675368,444154,290620,94454
NJ-10,76594,103812,37948,645562,427612,392048,35564,53,392048,79,21151,22801,8759,39292,36821,8953,24951,51603,107518,33150,19347,17623,790886,688375,445951,303082,102511
NJ-11,141429,197826,72985,649564,445623,427914,17709,465,427914,812,20959,36547,12470,40090,16687,10975,44422,78429,100386,31612,17397,17128,794541,758751,655174,190381,35790
NJ-12,117099,156606,56062,644656,447932,425535,22397,812,425535,1056,23405,44012,11552,34847,26486,10970,38705,68848,103836,28063,17974,15781,802394,731425,582287,231616,70969
NM-01,77246,102265,44661,590864,359129,341941,17188,3464,341941,3622,24343,15008,4738,36460,16276,6604,20931,57759,86640,34333,13038,22189,703391,647897,423099,331012,55494
NM-02,60933,81454,31774,574814,322788,303312,19476,8551,303312,15636,28111,12764,4418,32892,17111,4632,14962,30719,70523,35647,14764,21133,691604,610294,331843,363557,81310
NM-03,66346,90436,37493,578256,326040,309607,16433,4034,309607,12742,22997,13959,3569,35184,19042,3793,11743,39145,79113,30750,15133,22437,696896,622411,344389,380170,74485
NY-01,130141,175007,62478,648909,401565,386062,15503,373,386062,3212,28063,20434,7529,34198,17087,9171,29237,54497,116691,26662,19555,19726,775933,743724,612936,256637,32209
NY-02,125071,147067,47636,630267,432381,414659,17722,439,414659,1505,31864,32994,10141,43161,23394,8348,26199,52692,121382,25646,17330,20003,774442,734894,557766,285939,39548
NY-03,138234,196298,69767,639453,395716,381192,14524,308,381192,980,19644,17302,11018,33182,22068,9035,35589,64098,112126,21678,19768,14704,770732,745445,587126,273193,25287
NY-04,137724,175882,57644,635666,413392,396117,17275,144,396117,874,25505,15740,6912,34756,26931,9051,31334,52472,132826,24743,15008,19965,772201,739548,600645,242556,32653
NY-05,82463,107983,36463,626863,378218,350488,27730,521,350488,346,22049,8230,3176,30046,35038,6175,20962,40984,119470,25479,17911,20622,761142,710876,428862,369253,50266
NY-06,82145,110160,41073,609185,370294,353962,16332,101,353962,807,22492,14275,9162,31999,25442,10602,25191,40322,95304,42711,22863,12792,721601,666430,393792,364899,55171
NY-07,92194,135169,53528,632471,446683,419679,27004,85,419679,774,19251,11418,7287,33461,22038,26547,34875,92240,93429,45734,20209,12416,776509,726306,436354,341425,50203
NY-08,63052,98851,39130,611775,356780,325550,31230,370,325550,737,14731,7414,3838,27254,26465,11321,20700,51922,106148,25853,17681,11486,734360,698706,385471,394084,35654
NY-09,76531,106250,40697,575027,377448,348852,28596,173,348852,54,16254,8095,5282,28960,29933,13934,19221,50731,117842,25608,17249,15689,707599,673248,374175,361483,34351
NY-10,119517,206172,87606,630862,434646,412245,22401,217,412245,310,13379,10146,5617,27560,10152,30570,55670,107604,83796,40335,16667,10439,753813,720190,485762,280980,33623
NY-11,90759,119870,42112,622667,381388,361634,19754,518,361634,0,24985,12589,5938,32782,25971,7834,28600,44764,111810,28608,15903,21850,754820,711979,464314,329607,42841
NY-12,153117,255930,138927,678103,488429,466476,21953,110,466476,297,6867,12140,7644,27360,10321,26311,95138,128147,88143,30580,19020,14508,748919,728089,620110,198437,20830
NY-13,52401,86733,37754,627684,387756,351454,36302,215,351454,398,15562,6910,4678,29298,20849,11964,21977,46760,117295,43430,21316,11017,742005,691145,349041,410724,50860
NY-14,64547,91117,34072,586290,370483,344085,26398,415,344085,56,28193,9265,6453,32181,24706,7975,20454,41439,87457,51601,21629,12676,731854,661241,361758,384539,70613
NY-15,44554,69070,26424,589464,343212,300600,42612,1022,300600,360,14305,9427,5009,28829,26439,4581,13242,36342,105282,30945,16291,9548,745985,697431,330631,487407,48554
NY-16,102025,174838,68221,634999,413138,391266,21872,722,391266,1086,20239,16298,6371,26491,19165,11572,40614,58459,123387,31759,18732,17093,767691,725983,531385,287614,41708
NY-17,123436,175133,59456,613511,387561,371264,16297,171,371264,1147,27057,18320,5349,33873,18239,9690,28492,50881,117708,26720,18016,15772,772601,740065,524089,318393,32536
NY-18,91635,121127,46357,642896,399349,378772,20577,2587,378772,3761,26006,22268,6866,45751,20463,10272,21440,44072,110323,29500,18406,19644,777912,743424,516478,332254,34488
NY-19,73323,98814,41562,660238,386958,369767,17191,251,369767,5043,24469,28880,5216,35553,16617,5460,18908,42160,116232,33249,15712,22268,762621,730888,513662,337895,31733
NY-20,85230,113713,49296,658644,420177,404546,15631,687,404546,2006,18642,29053,6987,38297,19017,7571,29499,57485,108094,31051,16423,40421,783819,756503,584013,289974,27316
NY-21,70323,91154,38898,641039,362182,348426,13756,7998,348426,7823,23364,32590,4986,40611,18229,5853,14418,30712,99476,26586,16937,26841,740389,699082,490242,340459,41307
NY-22,75553,100547,42500,631817,384296,368008,16288,1147,368008,3537,20065,31684,7653,41300,18855,4791,24604,37073,117928,28264,16383,15871,752665,725831,511064,325828,26834
NY-23,74552,96099,41074,634770,376687,360953,15734,689,360953,4837,24754,50004,6383,39992,16087,5257,18325,30043,102272,24883,17986,20130,763412,732645,523169,334327,30767
NY-24,72396,91690,39006,644577,384651,371899,12752,2082,371899,12394,25525,46509,5137,43859,18826,4701,16464,28080,97056,31076,20348,21924,756617,719662,501192,340521,36955
NY-25,76980,102601,43865,634546,401113,387528,13585,76,387528,1154,17258,36423,6353,35321,18138,6915,20352,53058,132467,30247,16679,13163,761604,738156,511797,327338,23448
NY-26,64666,87532,39064,628776,390080,371728,18352,453,371728,1925,16150,38419,6023,39403,21002,3814,28096,42089,108342,30562,18421,17482,755470,731510,490994,354842,23960
-01,58749,78015,32941,613664,355946,333135,22811,6941,333135,8368,23530,51331,5490,38245,22373,1689,17918,29772,74693,23950,15962,19814,732277,657497,433257,341358,74780
NC-02,93949,132338,57371,650992,461191,444280,16911,513,444280,1154,28188,39037,8468,40519,18405,12340,31811,93185,101881,28785,23010,17497,784286,730264,599941,216080,54022
NC-03,65164,88205,36950,627573,340036,323759,16277,46587,323759,6988,24431,28783,5624,42779,17348,4412,17328,28991,78802,30653,16028,21592,720825,657612,487295,295959,63213
NC-04,102410,137234,55793,651340,440138,425577,14561,850,425577,2116,20024,34034,4556,32098,15200,8845,33428,75624,135119,31862,18013,14658,798312,751053,640907,195105,47259
NC-05,59041,82848,34985,628978,370781,355204,15577,324,355204,5178,22590,51818,6481,48372,20621,4413,22000,33511,78452,32558,17467,11743,747258,692216,468441,322306,55042
NC-06,68414,89714,37328,642522,413419,400565,12854,471,400565,1297,26036,54796,9500,49106,23955,4048,28381,42241,88571,36312,23687,12635,787489,727075,505376,314770,60414
NC-07,71121,96369,41054,663094,376780,363368,13412,10758,363368,4093,27105,32767,7253,37607,20013,5910,22596,44975,84904,40100,19251,16794,786802,728559,524532,348911,58243
NC-08,81435,118625,44794,628828,396429,380519,15910,563,380519,4511,30241,43144,8735,39175,19312,6584,36790,42498,81869,32323,19864,15473,778494,720915,530914,279663,57579
NC-09,68360,90087,36253,630987,364206,349991,14215,29617,349991,4118,30800,42936,8197,39935,19270,2054,20065,32733,82727,29764,18955,18437,756634,687619,478291,322188,69015
NC-10,71999,104591,43169,641482,394549,382872,11677,727,382872,1633,23291,60133,8525,45272,23050,3963,24764,41539,86556,35221,17989,10936,781238,710187,510176,289985,71051
NC-11,67690,94362,40694,654297,368438,355702,12736,600,355702,4248,28439,33486,7463,42550,15986,3491,17683,42129,84142,40677,20658,14750,760925,684389,481094,334049,76536
NC-12,80180,116516,49555,643547,478469,457764,20705,905,457764,823,39033,28020,7447,41429,41223,8501,62790,72753,84381,42502,21326,7536,797500,690997,508840,240882,106503
NC-13,85183,111874,42278,664088,419865,402895,16970,4958,402895,3005,40491,41640,7699,43528,20074,6758,23398,58261,83720,29657,21809,22855,820690,756414,570523,299092,64276
NC-14,78324,111420,44498,640831,412304,393856,18448,670,393856,1781,26784,48773,8638,45110,24024,5477,37263,51670,78624,34076,20288,11348,785198,715238,532994,281629,69960
