CD,DEM,REP,MARGIN,REMAIN
mn-02,52.5,45.4,7.2,2.1
mn-03,59.5,38.5,21,2
mn-04,67.8,30.2,37.6,2
mn-05,80.6,17.4,63.1,2
mn-06,40.1,57.7,-17.6,2.2
mn-07,32.5,65.7,-33.2,1.8
mn-08,43.4,54.7,-11.3,1.9
mo-01,78.4,20,58.4,1.6
mo-02,45.3,53,-7.8,1.7
mo-03,35.9,62.2,-26.3,1.9
mo-04,29.3,68.7,-39.3,2
mo-05,62.2,35.9,26.3,1.9
mo-06,30.6,67.7,-37.1,1.7
mo-07,28.4,69.8,-41.4,1.8
mo-08,23.6,75,-51.3,1.4
ms-01,33.4,65.1,-31.7,1.5
ms-02,62.5,36.4,26.1,1.1
ms-03,37.2,61.5,-24.3,1.3
ms-04,30.3,68.2,-38,1.5
mt-01,45.3,52.2,-6.9,2.5
mt-02,35.3,62.2,-26.8,2.5
nc-01,50.4,48.8,1.7,0.8
nc-02,66.9,31.5,35.3,1.6
nc-03,40.7,58,-17.3,1.3
nc-04,72.4,26.2,46.2,1.4
nc-05,41.8,57.2,-15.4,1
nc-06,41.2,57.5,-16.3,1.3
nc-07,43.9,54.9,-11,1.2
nc-08,40.6,58.3,-17.8,1.1
nc-09,42.4,56.3,-13.9,1.3
nc-10,41.4,57.4,-16.1,1.2
nc-11,43.8,54.8,-11,1.4
nc-12,74.4,24.2,50.2,1.4
nc-13,40.7,57.9,-17.3,1.4
nc-14,41.4,57.5,-16.1,1.1
nd-00,31.9,65.5,-33.5,2.6
ne-01,43.3,54.3,-11.1,2.4
ne-02,52.2,45.8,6.3,2
ne-03,23.1,74.9,-51.8,2
nh-01,52.2,46.2,5.9,1.6
nh-02,53.6,44.7,8.8,1.7
nj-01,61.5,37.1,24.4,1.4
nj-02,46.9,51.8,-4.9,1.3
nj-03,56.3,42.3,14,1.4
nj-04,38.1,60.6,-22.4,1.3
nj-05,55.6,43.2,12.4,1.2
nj-06,59,39.7,19.2,1.3
nj-07,51.1,47.3,3.9,1.6
nj-08,72.1,26.8,45.3,1.1
nj-09,58.9,40,18.9,1.1
nj-10,80.6,18.6,62,0.8
nj-11,57.8,40.9,16.9,1.3
nj-12,66.6,32.1,34.4,1.3
nm-01,55.9,41.5,14.4,2.6
nm-02,51.9,46.1,5.9,2
nm-03,54.4,43.6,10.8,2
nv-01,53.2,44.7,8.5,2.1
nv-02,43.1,54.1,-11,2.8
nv-03,52.4,45.7,6.6,1.9
nv-04,53,44.8,8.3,2.2
ny-01,48.5,50.3,-1.8,1.2
ny-02,48.2,50.6,-2.4,1.2
ny-03,55.2,43.8,11.3,1
ny-04,56.8,42.2,14.5,1
ny-05,80.9,18.5,62.4,0.6
ny-06,64.3,34.9,29.4,0.8
ny-07,79.8,19.3,60.5,0.9
ny-08,77.4,21.9,55.5,0.7
ny-09,75.7,23.6,52.1,0.7
ny-10,84.9,14.1,70.8,1
ny-11,45.7,53.4,-7.6,0.9
ny-12,85.2,13.8,71.4,1
ny-13,88.1,11.1,77,0.8
ny-14,77.2,22,55.2,0.8
ny-15,85,14.4,70.5,0.6
ny-16,71.8,27.2,44.6,1
ny-17,54.5,44.4,10.1,1.1
ny-18,53.8,44.7,9.1,1.5
ny-19,51.2,46.8,4.5,2
ny-20,58.6,39.4,19.2,2
ny-21,41.2,56.9,-15.7,1.9
ny-22,54.6,43.2,11.4,2.2
ny-23,39.9,58.1,-18.2,2
ny-24,38.7,59,-20.3,2.3
ny-25,59.2,38.6,20.6,2.2
ny-26,61.7,36.6,25.1,1.7
oh-01,53.5,45,8.5,1.5
oh-02,26.7,72,-45.4,1.3
oh-03,71.1,27.4,43.8,1.5
oh-04,31.4,67.1,-35.7,1.5
oh-05,35.8,62.6,-26.8,1.6
oh-06,35,63.7,-28.7,1.3
oh-07,44.8,54,-9.2,1.2
oh-08,38.3,60.3,-22,1.4
oh-09,47.7,50.6,-2.9,1.7
oh-10,47.4,50.9,-3.5,1.7
oh-11,78.3,20.7,57.6,1
oh-12,33.8,64.7,-30.9,1.5
oh-13,50.7,47.9,2.8,1.4
oh-14,41.9,56.8,-14.9,1.3
oh-15,45.8,52.6,-6.8,1.6
ok-01,38,59.4,-21.4,2.6
ok-02,22.4,75.8,-53.4,1.8
ok-03,26.5,71.2,-44.6,2.3
ok-04,33,64.6,-31.6,2.4
ok-05,40.3,57.1,-16.9,2.6
or-01,68.4,29.1,39.3,2.5
or-02,36.6,61,-24.4,2.4
or-03,72.5,25.2,47.3,2.3
or-04,55.1,42.3,12.7,2.6
or-05,53.2,44.4,8.9,2.4
or-06,55.2,42.1,13.2,2.7
pa-01,51.8,47.2,4.6,1
pa-02,71,28.3,42.7,0.7
pa-03,90.1,9.3,80.9,0.6
pa-04,58.9,40,18.9,1.1
pa-05,65.7,33.4,32.3,0.9
pa-06,56.8,42,14.7,1.2
pa-07,49.7,49.1,0.6,1.2
pa-08,48,50.9,-2.9,1.1
pa-09,31,67.5,-36.5,1.5
pa-10,47.2,51.3,-4.1,1.5
pa-11,38.6,59.9,-21.3,1.5
pa-12,59.4,39.5,19.9,1.1
pa-13,26.8,72,-45.2,1.2
pa-14,33.7,65.2,-31.5,1.1
pa-15,30.8,67.8,-37,1.4
pa-16,39,59.7,-20.6,1.3
pa-17,52.3,46.5,5.8,1.2
ri-01,63.8,34.7,29.1,1.5
ri-02,56.1,42.4,13.7,1.5
sc-01,44.9,53.5,-8.6,1.6
sc-02,43.9,54.5,-10.6,1.6
sc-03,30.6,68,-37.5,1.4
sc-04,39.8,58.4,-18.5,1.8
sc-05,40.2,58.4,-18.2,1.4
sc-06,65.3,33.2,32.1,1.5
sc-07,40.2,58.8,-18.7,1
sd-00,35.6,61.8,-26.2,2.6
tn-01,22,76.3,-54.2,1.7
tn-02,34.4,63.7,-29.2,1.9
tn-03,33.1,65,-31.9,1.9
tn-04,30.2,67.9,-37.7,1.9
tn-05,43.2,54.5,-11.3,2.3
tn-06,34.5,63.6,-29.1,1.9
tn-07,41.3,56.4,-15.1,2.3
tn-08,30.6,67.9,-37.3,1.5
tn-09,73.3,25.1,48.1,1.6
tx-01,26.5,72.4,-45.9,1.1
tx-02,37.9,60.7,-22.8,1.4
tx-03,42,56.4,-14.4,1.6
tx-04,36.4,62.4,-26,1.2
tx-05,38.2,60.6,-22.4,1.2
tx-06,37.4,61.3,-24,1.3
tx-07,64.2,34.5,29.7,1.3
tx-08,35.8,63,-27.2,1.2
tx-09,76.2,22.8,53.4,1
tx-10,39.8,58.6,-18.8,1.6
tx-11,29.1,69.5,-40.4,1.4
tx-12,40.1,58.3,-18.1,1.6
tx-13,26.5,72,-45.5,1.5
tx-14,35,63.6,-28.5,1.4
tx-15,48.1,51,-2.9,0.9
tx-16,67,31.5,35.4,1.5
tx-17,38,60.5,-22.5,1.5
tx-18,73.6,25.1,48.6,1.3
tx-19,26.2,72.4,-46.2,1.4
tx-20,65.8,32.7,33.1,1.5
tx-21,39.4,59.1,-19.7,1.5
tx-22,41.3,57.4,-16,1.3
tx-23,45.8,52.9,-7.2,1.3
tx-24,43,55.4,-12.3,1.6
tx-25,33.8,64.9,-31.2,1.3
tx-26,40,58.6,-18.5,1.4
tx-27,38.1,60.6,-22.4,1.3
tx-28,52.9,45.9,7,1.2
tx-29,67.8,31,36.7,1.2
tx-30,77.8,21,56.7,1.2
tx-31,39,59.2,-20.3,1.8
tx-32,65.7,32.7,33,1.6
tx-33,74.2,24.4,49.9,1.4
tx-34,57.3,41.8,15.5,0.9
tx-35,71.7,26.5,45.2,1.8
tx-36,33.6,65.2,-31.6,1.2
tx-37,75.5,22.7,52.8,1.8
tx-38,40.2,58.4,-18.1,1.4
ut-01,37.9,57.8,-19.9,4.3
ut-02,39.5,56.7,-17.1,3.8
ut-03,38.3,57.5,-19.2,4.2
ut-04,34.8,60.7,-25.9,4.5
va-01,46.2,52.3,-6.2,1.5
va-02,50.1,48.2,1.9,1.7
va-03,68.3,30,38.4,1.7
va-04,67.2,31.5,35.7,1.3
va-05,45.2,53.4,-8.3,1.4
va-06,38.4,60,-21.5,1.6
va-07,52.6,45.8,6.8,1.6
va-08,77.4,21.3,56,1.3
va-09,28.5,70.3,-41.9,1.2
va-10,58.3,40.2,18.1,1.5
va-11,70,28.7,41.3,1.3
vt-00,66.4,30.8,35.6,2.8
wa-01,64,33.3,30.6,2.7
wa-02,60.1,37.2,22.9,2.7
wa-03,46.6,50.8,-4.2,2.6
wa-04,40.3,57.2,-17,2.5
wa-05,43.5,53.5,-10,3
wa-06,57.1,39.9,17.2,3
wa-07,86.8,11.3,75.5,1.9
wa-08,52,45.3,6.7,2.7
wa-09,71.5,26.3,45.2,2.2
wa-10,57.3,39.6,17.7,3.1
wi-01,48.3,50.3,-2,1.4
wi-02,70.2,28.4,41.8,1.4
wi-03,46.8,51.5,-4.7,1.7
wi-04,75.9,22.8,53.1,1.3
wi-05,37.9,60.8,-22.9,1.3
wi-06,41.4,57,-15.7,1.6
wi-07,39.3,59.2,-20,1.5
wi-08,41.5,57,-15.5,1.5
wv-01,28.8,69.7,-40.9,1.5
wv-02,30.6,67.6,-37,1.8
wy-00,26.7,70.4,-43.7,2.9
