CD,DEM,REP,MARGIN,REMAIN
ak-00,45.26,54.4,-9.14,0.34
al-01,35.54,64.37,-28.83,0.09
al-02,34.68,65.22,-30.54,0.10
al-03,32.46,67.46,-35.00,0.08
al-04,17.68,82.24,-64.56,0.08
al-05,--,95.81,--,4.19
al-06,--,97.13,--,2.87
al-07,97.16,--,--,2.84
ar-01,--,100,--,0.00
ar-02,44.63,55.37,-10.74,0.00
ar-03,31.81,64.31,-32.50,3.88
ar-04,27.54,69.67,-42.13,2.79
az-01,51.61,48.39,3.22,0.00
az-02,55.1,44.87,10.23,0.03
az-03,64.57,35.43,29.14,0.00
az-04,30.23,69.74,-39.51,0.03
az-05,41.1,58.88,-17.78,0.02
az-06,47.83,52.17,-4.34,0.00
az-07,76.69,23.28,53.41,0.03
az-08,40.43,59.56,-19.13,0.01
az-09,61.63,38.37,23.26,0.00
ca-01,43.01,56.99,-13.98,0.00
ca-02,75.74,24.26,51.48,0.00
ca-03,54.67,45.33,9.34,0.00
ca-04,44.05,55.95,-11.90,0.00
ca-05,76.09,23.91,52.18,0.00
ca-06,73.34,26.66,46.68,0.00
ca-07,56.62,43.38,13.24,0.00
ca-08,43.94,56.06,-12.12,0.00
ca-09,57.58,42.42,15.16,0.00
ca-10,55.16,44.84,10.32,0.00
ca-11,72.99,27.01,45.98,0.00
ca-12,100,--,--,0.00
ca-13,90.37,9.63,80.74,0.00
ca-14,79.29,20.71,58.58,0.00
ca-15,70.9,29.1,41.80,0.00
ca-16,59.38,40.62,18.76,0.00
ca-17,71.35,28.65,42.70,0.00
ca-18,100,--,--,0.00
ca-19,71.68,28.32,43.36,0.00
ca-20,76.78,23.22,53.56,0.00
ca-21,49.55,50.45,-0.90,0.00
ca-22,45.77,54.23,-8.46,0.00
ca-23,37.86,62.14,-24.28,0.00
ca-24,58.66,41.34,17.32,0.00
ca-25,49.95,50.05,-0.10,0.00
ca-26,60.58,39.42,21.16,0.00
ca-27,69.78,30.22,39.56,0.00
ca-28,72.66,27.34,45.32,0.00
ca-29,100,--,--,0.00
ca-30,69.48,30.52,38.96,0.00
ca-31,61.29,38.71,22.58,0.00
ca-32,66.58,33.42,33.16,0.00
ca-33,67.58,32.42,35.16,0.00
ca-34,100,--,--,0.00
ca-35,69.33,30.67,38.66,0.00
ca-36,60.34,39.66,20.68,0.00
ca-37,85.94,14.06,71.88,0.00
ca-38,100,--,--,0.00
ca-39,49.4,50.6,-1.20,0.00
ca-40,72.74,27.26,45.48,0.00
ca-41,64.03,35.97,28.06,0.00
ca-42,42.87,57.13,-14.26,0.00
ca-43,71.68,28.32,43.36,0.00
ca-44,100,--,--,0.00
ca-45,53.46,46.54,6.92,0.00
ca-46,68.75,31.25,37.50,0.00
ca-47,63.27,36.73,26.54,0.00
ca-48,48.94,51.06,-2.12,0.00
ca-49,53.13,46.87,6.26,0.00
ca-50,46.05,53.95,-7.90,0.00
ca-51,68.3,31.7,36.60,0.00
ca-52,61.58,38.42,23.16,0.00
ca-53,100,--,--,0.00
co-01,73.65,23.53,50.12,2.82
co-02,61.46,35.4,26.06,3.14
co-03,45.22,51.39,-6.17,3.39
co-04,36.61,60.11,-23.50,3.28
co-05,37.37,57.59,-20.22,5.04
co-06,57.09,39.96,17.13,2.95
co-07,59.13,37.6,21.53,3.27
ct-01,60.99,34.97,26.02,4.04
ct-02,56.43,38.21,18.22,5.36
ct-03,56.13,38.01,18.12,5.86
ct-04,62.22,36.21,26.01,1.57
