CD,DEM,REP,MARGIN,REMAIN
ct-05,52.58,43.48,9.10,3.94
de-00,57.63,40.22,17.41,2.15
fl-01,34.01,64.61,-30.60,1.38
fl-02,--,97.86,--,2.14
fl-03,42.86,57.14,-14.28,0.00
fl-04,38.9,61.1,-22.20,0.00
fl-05,65.13,34.87,30.26,0.00
fl-06,39.35,60.61,-21.26,0.04
fl-07,55.34,43.24,12.10,1.42
fl-08,38.65,61.35,-22.70,0.00
fl-09,56.03,43.96,12.07,0.01
fl-10,63.61,36.37,27.24,0.02
fl-11,33.28,66.72,-33.44,0.00
fl-12,37.12,62.88,-25.76,0.00
fl-13,53.04,46.96,6.08,0.00
fl-14,60.26,39.74,20.52,0.00
fl-15,44.61,55.39,-10.78,0.00
fl-16,44.5,55.5,-11.00,0.00
fl-17,34.07,64.63,-30.56,1.30
fl-18,41.51,56.32,-14.81,2.17
fl-19,38.72,61.28,-22.56,0.00
fl-20,78.68,21.32,57.36,0.00
fl-21,59.02,39.1,19.92,1.88
fl-22,58.6,41.4,17.20,0.00
fl-23,58.19,41.79,16.40,0.02
fl-24,75.55,20.4,55.15,4.05
fl-25,--,0,--,--
fl-26,48.28,51.72,-3.44,0.00
fl-27,48.62,51.36,-2.74,0.02
ga-01,41.65,58.35,-16.70,0.00
ga-02,59.11,40.88,18.23,0.01
ga-03,34.95,65.05,-30.10,0.00
ga-04,80.08,19.92,60.16,0.00
ga-05,85.15,14.85,70.30,0.00
ga-06,54.59,45.41,9.18,0.00
ga-07,51.39,48.61,2.78,0.00
ga-08,35.47,64.51,-29.04,0.02
ga-09,21.42,78.58,-57.16,0.00
ga-10,37.69,62.31,-24.62,0.00
ga-11,39.57,60.43,-20.86,0.00
ga-12,41.62,58.38,-16.76,0.00
ga-13,77.39,22.6,54.79,0.01
ga-14,25.29,74.71,-49.42,0.00
hi-01,72.02,27.98,44.04,0.00
hi-02,63.03,30.88,32.15,6.09
ia-01,48.65,51.25,-2.60,0.10
ia-02,49.91,49.91,-0.002,0.18
ia-03,48.94,47.55,1.39,3.51
ia-04,37.79,61.97,-24.18,0.24
id-01,28.65,67.76,-39.11,3.59
id-02,31.73,64.06,-32.33,4.21
il-01,73.8,26.15,47.65,0.05
il-02,78.81,21.19,57.62,0.00
il-03,56.38,43.62,12.76,0.00
il-04,84.05,15.95,68.10,0.00
il-05,70.77,26.63,44.14,2.60
il-06,52.82,45.43,7.39,1.75
il-07,80.41,13.35,67.06,6.24
il-08,73.16,--,--,26.84
il-09,70.98,29.02,41.96,0.00
il-10,63.87,36.12,27.75,0.01
il-11,63.3,36.7,26.60,0.00
il-12,39.57,60.43,-20.86,0.00
il-13,45.54,54.46,-8.92,0.00
il-14,50.67,49.33,1.34,0.00
il-15,26.55,73.45,-46.90,0.00
il-16,35.28,64.71,-29.43,0.01
il-17,52.02,47.97,4.05,0.01
il-18,29.59,70.41,-40.82,0.00
in-01,56.64,40.45,16.19,2.91
in-02,38.51,61.49,-22.98,0.00
in-03,32.16,67.84,-35.68,0.00
in-04,33.38,66.62,-33.24,0.00
in-05,45.94,50.02,-4.08,4.04
in-06,27.76,68.65,-40.89,3.59
in-07,62.44,37.56,24.88,0.00
in-08,29.85,66.95,-37.10,3.20
in-09,34.14,61.85,-27.71,4.01
ks-01,28.84,71.16,-42.32,0.00
ks-02,40.63,55.15,-14.52,4.22
ks-03,53.62,43.56,10.06,2.82
ks-04,36.35,63.65,-27.30,0.00
ky-01,25.01,74.99,-49.98,0.00
ky-02,26.26,70.96,-44.70,2.78
ky-03,62.67,37.33,25.34,0.00
ky-04,32.91,67.09,-34.18,0.00
ky-05,15.79,84.21,-68.42,0.00
ky-06,40.96,57.33,-16.37,1.71
la-01,25.3,72.21,-46.91,2.49
la-02,74.24,19.92,54.32,5.84
la-03,29.48,67.76,-38.28,2.76
la-04,33.26,66.74,-33.48,0.00
la-05,32.16,67.84,-35.68,0.00
la-06,25.55,71.05,-45.50,3.40
ma-01,96.51,--,--,3.49
ma-02,65.33,34.57,30.76,0.10
ma-03,97.74,--,--,2.26
ma-04,60.83,38.87,21.96,0.30
ma-05,74.32,25.58,48.74,0.10
ma-06,65.43,34.43,31.00,0.14
ma-07,86.62,--,--,13.38
ma-08,80.68,--,--,19.32
ma-09,61.3,36.33,24.97,2.37
md-01,36.38,63.44,-27.06,0.18
md-02,67.72,32.03,35.69,0.25
md-03,69.76,30.04,39.72,0.20
md-04,79.58,20.22,59.36,0.20
md-05,68.75,30.97,37.78,0.28
md-06,58.82,39.19,19.63,1.99
md-07,71.63,28.04,43.59,0.33
md-08,68.23,31.58,36.65,0.19
me-01,62.15,37.84,24.31,0.01
me-02,53.04,46.95,6.09,0.01
mi-01,36.84,61.65,-24.81,1.51
mi-02,38.22,59.2,-20.98,2.58
mi-03,47.04,52.96,-5.92,0.00
mi-04,32.37,65,-32.63,2.63
mi-05,54.45,41.76,12.69,3.79
mi-06,40.13,55.81,-15.68,4.06
mi-07,41.25,58.75,-17.50,0.00
mi-08,50.88,47.28,3.60,1.84
mi-09,57.71,38.41,19.30,3.88
mi-10,33.72,66.28,-32.56,0.00
mi-11,50.2,47.82,2.38,1.98
mi-12,66.43,30.67,35.76,2.90
mi-13,78.08,18.65,59.43,3.27
mi-14,79.28,18.31,60.97,2.41
mn-01,45.52,48.59,-3.07,5.89
mn-02,48.18,45.92,2.26,5.90
mn-03,55.61,44.32,11.29,0.07
mn-04,63.17,28.97,34.20,7.86
mn-05,64.27,25.83,38.44,9.90
mn-06,34.16,65.7,-31.54,0.14
mn-07,39.85,53.39,-13.54,6.76
mn-08,37.55,56.75,-19.20,5.70
mo-01,78.78,18.96,59.82,2.26
mo-02,45.52,51.89,-6.37,2.59
mo-03,28.5,69.44,-40.94,2.06
mo-04,29.66,67.59,-37.93,2.75
mo-05,58.79,38.57,20.22,2.64
mo-06,30.83,67.06,-36.23,2.11
mo-07,26.57,68.87,-42.30,4.56
mo-08,21.37,76.86,-55.49,1.77
ms-01,31.25,68.75,-37.50,0.00
ms-02,66.02,33.98,32.04,0.00
ms-03,35.33,64.67,-29.34,0.00
ms-04,--,100,--,0.00
mt-00,43.61,56.39,-12.78,0.00
nc-01,54.18,45.82,8.36,0.00
nc-02,62.96,34.83,28.13,2.21
nc-03,36.62,63.38,-26.76,0.00
nc-04,67.33,32.67,34.66,0.00
nc-05,31.11,66.93,-35.82,1.96
nc-06,62.27,37.73,24.54,0.00
nc-07,39.59,60.25,-20.66,0.16
nc-08,46.72,53.28,-6.56,0.00
nc-09,44.41,55.59,-11.18,0.00
nc-10,31.09,68.91,-37.82,0.00
nc-11,42.34,54.5,-12.16,3.16
nc-12,100,--,--,0.00
nc-13,31.82,68.18,-36.36,0.00
nd-00,27.55,68.96,-41.41,3.49
ne-01,37.67,59.52,-21.85,2.81
ne-02,46.21,50.77,-4.56,3.02
ne-03,17.68,78.51,-60.83,3.81
nh-01,51.32,46.21,5.11,2.47
nh-02,53.9,43.7,10.20,2.40
nj-01,62.48,37.52,24.96,0.00
nj-02,46.17,51.93,-5.76,1.90
nj-03,53.23,45.47,7.76,1.30
nj-04,38.27,59.88,-21.61,1.85
nj-05,53.15,45.64,7.51,1.21
nj-06,61.17,38.83,22.34,0.00
nj-07,50.61,49.39,1.22,0.00
nj-08,74.03,24.58,49.45,1.39
nj-09,65.8,31.86,33.94,2.34
nj-10,83.28,13.9,69.38,2.82
nj-11,53.3,46.7,6.60,0.00
nj-12,65.64,32.58,33.06,1.78
nm-01,58.19,41.81,16.38,0.00
nm-02,46.25,53.7,-7.45,0.05
nm-03,58.68,41.32,17.36,0.00
nv-01,61.77,33.37,28.40,4.86
nv-02,40.71,56.47,-15.76,2.82
nv-03,48.75,45.77,2.98,5.48
nv-04,50.67,45.8,4.87,3.53
ny-01,41.9,49.19,-7.29,8.91
ny-02,43.2,47.2,-4.00,9.60
ny-03,52.58,39.57,13.01,7.85
ny-04,56.13,39.21,16.92,4.66
ny-05,99.33,--,--,0.67
ny-06,61.62,28.96,32.66,9.42
ny-07,69.59,13.04,56.55,17.37
ny-08,74.72,14.12,60.60,11.16
ny-09,70.61,14.47,56.14,14.92
ny-10,65.43,22.04,43.39,12.53
ny-11,45.9,48.9,-3.00,5.20
ny-12,82.09,15.22,66.87,2.69
ny-13,79.46,7.76,71.70,12.78
ny-14,71.56,24.6,46.96,3.84
ny-15,88.74,9.94,78.80,1.32
ny-16,84.04,--,--,15.96
ny-17,55.27,35.24,20.03,9.49
ny-18,50.93,38.32,12.61,10.75
ny-19,47.7,42.94,4.76,9.36
ny-20,54.01,33.63,20.38,12.36
ny-21,38.16,52.9,-14.74,8.94
ny-22,43.45,44.83,-1.38,11.72
ny-23,36.98,51.56,-14.58,11.46
ny-24,42.96,45.41,-2.45,11.63
ny-25,53.87,33.31,20.56,12.82
ny-26,63.26,28.67,34.59,8.07
ny-27,35.66,50.25,-14.59,14.09
oh-01,44.65,51.8,-7.15,3.55
oh-02,38.91,61.08,-22.17,0.01
oh-03,70.83,29.14,41.69,0.03
oh-04,29.31,67.85,-38.54,2.84
oh-05,32,68,-36.00,0.00
oh-06,25.59,74.41,-48.82,0.00
oh-07,29.17,67.5,-38.33,3.33
oh-08,31.01,68.95,-37.94,0.04
oh-09,63.07,36.91,26.16,0.02
oh-10,41.64,58.36,-16.72,0.00
oh-11,80.05,19.95,60.10,0.00
oh-12,41.78,55.24,-13.46,2.98
oh-13,52.49,44.94,7.55,2.57
oh-14,39.9,60.1,-20.20,0.00
oh-15,36.57,63.41,-26.84,0.02
oh-16,36.81,63.19,-26.38,0.00
ok-01,32.68,63.7,-31.02,3.62
ok-02,22,75.04,-53.04,2.96
ok-03,21.51,78.49,-56.98,0.00
ok-04,28.78,67.79,-39.01,3.43
ok-05,47.94,52.06,-4.12,0.00
or-01,64.59,35.21,29.38,0.20
or-02,36.92,59.86,-22.94,3.22
or-03,73.02,23.5,49.52,3.48
or-04,51.52,46.2,5.32,2.28
or-05,51.89,45.15,6.74,2.96
pa-01,43.44,56.56,-13.12,0.00
pa-02,72.54,27.46,45.08,0.00
pa-03,91.03,8.97,82.06,0.00
pa-04,59.53,40.47,19.06,0.00
pa-05,64.7,35.3,29.40,0.00
pa-06,56.05,43.95,12.10,0.00
pa-07,51.87,48.13,3.74,0.00
pa-08,51.78,48.22,3.56,0.00
pa-09,31.02,68.98,-37.96,0.00
pa-10,46.69,53.31,-6.62,0.00
pa-11,36.88,63.12,-26.24,0.00
pa-12,29.16,70.84,-41.68,0.00
pa-13,26.51,73.49,-46.98,0.00
pa-14,35.31,64.69,-29.38,0.00
pa-15,26.54,73.46,-46.92,0.00
pa-16,40.66,59.34,-18.68,0.00
pa-17,51.15,48.85,2.30,0.00
pa-18,69.25,30.75,38.50,0.00
ri-01,70.83,--,--,29.17
ri-02,58.24,41.54,16.70,0.22
sc-01,49.31,50.58,-1.27,0.11
sc-02,42.59,55.66,-13.07,1.75
sc-03,28.69,71.21,-42.52,0.10
sc-04,36.89,61.61,-24.72,1.50
sc-05,39.86,60.07,-20.21,0.07
sc-06,68.18,30.82,37.36,1.00
sc-07,38.14,61.8,-23.66,0.06
sd-00,--,80.96,--,19.04
tn-01,22.47,74.71,-52.24,2.82
tn-02,31.05,67.64,-36.59,1.31
tn-03,30.5,67.3,-36.80,2.20
tn-04,33.33,66.67,-33.34,0.00
tn-05,99.99,--,--,0.01
tn-06,23.99,73.68,-49.69,2.33
tn-07,27.33,69.93,-42.60,2.74
tn-08,29.5,68.47,-38.97,2.03
tn-09,77.37,20.1,57.27,2.53
tx-01,27.42,72.58,-45.16,0.00
tx-02,42.79,55.61,-12.82,1.60
tx-03,42.87,55.07,-12.20,2.06
tx-04,22.59,75.14,-52.55,2.27
tx-05,35.93,61.99,-26.06,2.08
tx-06,43.98,52.8,-8.82,3.22
tx-07,50.79,47.45,3.34,1.76
tx-08,25.47,72.51,-47.04,2.02
tx-09,75.48,21.64,53.84,2.88
tx-10,45.35,52.48,-7.13,2.17
tx-11,18.3,79.71,-61.41,1.99
tx-12,33.04,63.72,-30.68,3.24
tx-13,18.46,79.38,-60.92,2.16
tx-14,38.36,61.64,-23.28,0.00
tx-15,50.5,47.62,2.88,1.88
tx-16,64.72,35.28,29.44,0.00
tx-17,40.92,55.85,-14.93,3.23
tx-18,73.29,23.51,49.78,3.20
tx-19,22.86,74.78,-51.92,2.36
tx-20,64.67,33.11,31.56,2.22
tx-21,45.35,51.95,-6.60,2.70
tx-22,44.6,51.53,-6.93,3.87
tx-23,46.6,50.56,-3.96,2.84
tx-24,47.48,48.81,-1.33,3.71
tx-25,42.11,55.93,-13.82,1.96
tx-26,37.25,60.61,-23.36,2.14
tx-27,34.94,63.06,-28.12,2.00
tx-28,58.3,38.98,19.32,2.72
tx-29,71.13,27.38,43.75,1.49
tx-30,77.49,18.41,59.08,4.10
tx-31,44.29,53.43,-9.14,2.28
tx-32,51.95,45.93,6.02,2.12
tx-33,66.82,25.15,41.67,8.03
tx-34,55.43,41.84,13.59,2.73
tx-35,65.37,29.95,35.42,4.68
tx-36,24.27,73.61,-49.34,2.12
ut-01,30.43,69.52,-39.09,0.05
ut-02,36.63,59,-22.37,4.37
ut-03,26.77,68.73,-41.96,4.50
ut-04,46.7,47.7,-1.00,5.60
va-01,41.71,58.15,-16.44,0.14
va-02,51.55,45.81,5.74,2.64
va-03,68.35,31.43,36.92,0.22
va-04,61.62,38.23,23.39,0.15
va-05,47.3,52.44,-5.14,0.26
va-06,35.29,64.59,-29.30,0.12
va-07,50.82,49,1.82,0.18
va-08,75.79,23.98,51.81,0.23
va-09,--,93.98,--,6.02
va-10,56.51,43.37,13.14,0.12
va-11,71.39,28.32,43.07,0.29
vt-00,67.31,27.01,40.30,5.68
wa-01,58.55,41.33,17.22,0.12
wa-02,63.09,36.67,26.42,0.24
wa-03,43.39,56.37,-12.98,0.24
wa-04,33.63,66.21,-32.58,0.16
wa-05,38.51,61.29,-22.78,0.20
wa-06,59.3,40.45,18.85,0.25
wa-07,82.99,16.77,66.22,0.24
wa-08,51.71,48.15,3.56,0.14
wa-09,74.14,25.7,48.44,0.16
wa-10,84.89,--,--,15.11
wi-01,40.61,59.31,-18.70,0.08
wi-02,69.67,30.25,39.42,0.08
wi-03,51.3,48.64,2.66,0.06
wi-04,74.65,22.7,51.95,2.65
wi-05,39.83,60.11,-20.28,0.06
wi-06,40.72,59.23,-18.51,0.05
wi-07,39.21,60.73,-21.52,0.06
wi-08,35.79,64.18,-28.39,0.03
wv-01,31.02,68.98,-37.96,0.00
wv-02,36.92,63.08,-26.16,0.00
wv-03,28.66,71.34,-42.68,0.00
wy-00,24.58,68.56,-43.98,6.86
