NJ-11,141429,197826
NJ-12,117099,156606
NM-01,77246,102265
NM-02,60933,81454
NM-03,66346,90436
NY-01,130141,175007
NY-02,125071,147067
NY-03,138234,196298
NY-04,137724,175882
NY-05,82463,107983
NY-06,82145,110160
NY-07,92194,135169
NY-08,63052,98851
NY-09,76531,106250
NY-10,119517,206172
NY-11,90759,119870
NY-12,153117,255930
NY-13,52401,86733
NY-14,64547,91117
NY-15,44554,69070
NY-16,102025,174838
NY-17,123436,175133
NY-18,91635,121127
NY-19,73323,98814
NY-20,85230,113713
NY-21,70323,91154
NY-22,75553,100547
NY-23,74552,96099
NY-24,72396,91690
NY-25,76980,102601
NY-26,64666,87532
NC-01,58749,78015
NC-02,93949,132338
NC-03,65164,88205
NC-04,102410,137234
NC-05,59041,82848
NC-06,68414,89714
NC-07,71121,96369
NC-08,81435,118625
NC-09,68360,90087
NC-10,71999,104591
NC-11,67690,94362
NC-12,80180,116516
NC-13,85183,111874
NC-14,78324,111420
ND-00,77871,103487
OH-01,82099,120717
OH-02,67801,88968
OH-03,72896,105825
OH-04,81278,108034
OH-05,73004,90010
OH-06,60716,78924
OH-07,84749,113416
OH-08,78375,101885
OH-09,66802,89057
OH-10,69377,90759
OH-11,56120,82120
OH-12,78547,100655
OH-13,70528,93397
OH-14,73552,97853
OH-15,80864,102261
OK-01,71143,99295
OK-02,56060,74992
OK-03,59917,79472
OK-04,67377,87560
OK-05,76260,107367
OR-01,97201,125955
OR-02,68267,89174
OR-03,94110,119174
OR-04,69445,91926
OR-05,96200,127013
OR-06,90927,113049
PA-01,112090,148699
PA-02,57907,81687
PA-03,65154,97365
PA-04,108414,149756
PA-05,85873,128810
PA-06,109810,148478
PA-07,82166,108337
PA-08,69715,94279
PA-09,68016,88622
PA-10,81071,106244
PA-11,85402,110967
PA-12,74565,104132
PA-13,70192,87573
PA-14,67410,87600
PA-15,65193,84087
PA-16,67473,92311
PA-17,88580,117590
RI-01,77683,106561
RI-02,92127,122707
SC-01,95136,130878
SC-02,77683,101885
SC-03,65919,88289
SC-04,78299,101948
SC-05,75344,98599
SC-06,58458,80563
SC-07,61149,81780
SD-00,76881,100178
TN-01,60591,79299
TN-02,72659,100349
TN-03,74530,98432
TN-04,73896,97673
TN-05,96192,136607
TN-06,72083,95620
TN-07,79222,107868
TN-08,70081,103810
TN-09,55603,75661
TX-01,66563,86545
TX-02,101405,135308
TX-03,124853,156607
TX-04,99301,134898
TX-05,75301,93453
TX-06,81604,105472
TX-07,75245,132183
TX-08,91806,119865
TX-09,62248,88528
TX-10,89284,132560
TX-11,71363,96233
TX-12,90319,119685
TX-13,69873,91562
TX-14,77652,104337
TX-15,62554,84167
TX-16,60456,80437
TX-17,69771,93516
TX-18,66803,99739
TX-19,64889,88160
TX-20,62044,80342
TX-21,100260,137621
TX-22,115961,147726
TX-23,81908,111830
TX-24,119295,177039
TX-25,80242,106668
TX-26,122953,154473
TX-27,69138,92854
TX-28,64511,84576
TX-29,54102,72626
TX-30,77231,102547
TX-31,96045,124294
TX-32,72478,103975
TX-33,66107,88864
TX-34,54486,73133
TX-35,73298,97520
TX-36,76372,102945
TX-37,93776,145238
TX-38,98753,148114
UT-01,92358,117167
UT-02,90523,111426
UT-03,96440,133423
UT-04,109469,128876
VT-00,82730,109920
VA-01,100817,134593
VA-02,93827,120269
VA-03,67625,87486
VA-04,69839,92340
VA-05,73090,101860
VA-06,74264,96895
VA-07,113690,135904
VA-08,133323,183045
VA-09,59156,81359
VA-10,157863,188875
VA-11,158109,197157
WA-01,131159,184889
WA-02,90998,121302
WA-03,92354,117519
WA-04,78605,99257
WA-05,80002,103311
WA-06,94385,118374
WA-07,119340,174529
WA-08,130695,175094
WA-09,100731,148575
WA-10,95458,118437
WV-01,56624,75943
WV-02,64861,86032
WI-01,79452,101359
WI-02,88518,116033
WI-03,73367,93502
WI-04,62083,87217
WI-05,91909,118097
WI-06,76182,98054
WI-07,73003,91994
WI-08,78966,100484
WY-00,75532,101197
