CD,DEMOCRAT,REPUBLICAN,MARGIN
or-02,35.1,62.2,-27.1
or-03,71.3,25.3,46.0
or-04,54.5,42.4,12.1
or-05,52.8,44.2,8.5
or-06,54.1,42.8,11.4
pa-01,49.7,49.4,0.3
pa-02,67.3,31.5,35.7
pa-03,88.1,10.7,77.3
pa-04,57.4,41.6,15.8
pa-05,63.8,35.2,28.6
pa-06,55.2,43.8,11.4
pa-07,47.9,51.1,-3.2
pa-08,45.4,53.8,-8.5
pa-09,30.6,68.5,-37.9
pa-10,46.8,52.0,-5.2
pa-11,38.8,60.2,-21.4
pa-12,59.1,39.9,19.2
pa-13,26.8,72.4,-45.5
pa-14,33.0,66.3,-33.4
pa-15,30.6,68.6,-38.0
pa-16,38.2,61.0,-22.8
pa-17,52.3,46.8,5.5
ri-01,60.0,37.8,22.2
ri-02,52.3,45.5,6.8
sc-01,42.7,55.7,-13.0
sc-02,42.3,56.2,-13.9
sc-03,27.8,70.9,-43.1
sc-04,37.4,61.0,-23.6
sc-05,37.9,60.7,-22.8
sc-06,60.5,37.9,22.7
sc-07,36.3,62.6,-26.3
sd-00,34.2,63.4,-29.2
tn-01,20.6,78.4,-57.8
tn-02,32.4,66.2,-33.9
tn-03,31.4,67.3,-35.9
tn-04,27.6,71.2,-43.6
tn-05,40.3,58.1,-17.8
tn-06,31.8,67.0,-35.2
tn-07,38.1,60.4,-22.3
tn-08,28.9,70.0,-41.1
tn-09,70.8,27.4,43.4
tx-01,24.0,75.3,-51.3
tx-02,37.5,61.3,-23.8
tx-03,38.8,58.9,-20.1
tx-04,33.0,65.6,-32.6
tx-05,35.9,63.0,-27.1
tx-06,35.2,63.7,-28.5
tx-07,58.9,38.2,20.8
tx-08,32.4,66.3,-33.9
tx-09,71.3,27.2,44.1
tx-10,36.9,61.8,-24.8
tx-11,26.8,72.3,-45.5
tx-12,38.1,60.7,-22.6
tx-13,25.6,73.4,-47.8
tx-14,32.5,66.5,-34.1
tx-15,40.7,58.5,-17.9
tx-16,57.4,41.4,16.0
tx-17,34.9,64.1,-29.2
tx-18,69.2,29.4,39.8
tx-19,23.7,75.4,-51.7
tx-20,60.1,38.8,21.3
tx-21,37.6,61.3,-23.6
tx-22,39.3,58.8,-19.5
tx-23,41.8,57.3,-15.5
tx-24,41.5,57.0,-15.5
tx-25,31.3,67.6,-36.3
tx-26,37.6,61.0,-23.4
tx-27,34.7,64.4,-29.7
tx-28,45.9,53.2,-7.3
tx-29,59.6,39.2,20.4
tx-30,72.8,25.9,47.0
tx-31,37.7,61.0,-23.3
tx-32,60.7,36.9,23.8
tx-33,65.7,32.0,33.8
tx-34,47.4,51.8,-4.4
tx-35,66.1,32.4,33.6
tx-36,31.1,67.9,-36.8
tx-37,73.7,24.4,49.3
tx-38,38.8,59.5,-20.7
ut-01,38.5,58.5,-20.0
ut-02,38.6,58.9,-20.3
ut-03,39.0,58.3,-19.3
ut-04,35.2,61.9,-26.7
va-01,46.9,51.8,-4.9
va-02,49.3,49.5,-0.2
va-03,66.6,32.0,34.7
va-04,65.6,32.9,32.7
va-05,43.4,55.6,-12.3
va-06,37.5,61.4,-23.9
va-07,50.5,47.7,2.9
va-08,73.7,24.0,49.7
va-09,27.6,71.6,-44.1
va-10,52.9,44.5,8.4
va-11,65.7,31.4,34.3
vt-00,64.4,32.6,31.8
wa-01,62.6,33.9,28.7
wa-02,60.2,36.6,23.7
wa-03,47.0,50.3,-3.3
wa-04,38.3,59.0,-20.7
wa-05,43.2,53.9,-10.8
wa-06,58.1,38.8,19.3
wa-07,85.8,10.8,75.0
wa-08,51.3,45.5,5.8
wa-09,68.9,27.7,41.2
wa-10,57.4,39.4,18.0
