CD,DEM,REP,MARGIN,REMAIN
il-17,54.43,45.57,8.86,0.00
in-01,53.44,44.95,8.49,1.61
in-02,34.61,62.74,-28.13,2.65
in-03,31.42,65.05,-33.63,3.53
in-04,30.93,64.83,-33.90,4.24
in-05,38.02,56.6,-18.58,5.38
in-06,31.7,63.94,-32.24,4.36
in-07,68.34,28.95,39.39,2.71
in-08,29.45,67.96,-38.51,2.59
in-09,32.8,64.47,-31.67,2.73
ks-01,30.86,69.14,-38.28,0.00
ks-02,38.21,57.09,-18.88,4.70
ks-03,53.36,42.6,10.76,4.04
ks-04,34.95,65.05,-30.10,0.00
ky-01,25.28,74.72,-49.44,0.00
ky-02,26.9,73.1,-46.20,0.00
ky-03,61.95,38.04,23.91,0.01
ky-04,--,99.6,--,0.40
ky-05,--,100,--,0.00
ky-06,36.96,63.04,-26.08,0.00
la-01,24.02,74.09,-50.07,1.89
la-02,70.94,29.06,41.88,0.00
la-03,25.31,74.69,-49.38,0.00
la-04,--,100,--,0.00
la-05,25.94,74.06,-48.12,0.00
la-06,62.26,37.74,24.52,0.00
ma-01,62.37,--,--,37.63
ma-02,68.64,--,--,31.36
ma-03,97.47,--,--,2.53
ma-04,97.37,--,--,2.63
ma-05,98.22,--,--,1.78
ma-06,97.81,--,--,2.19
ma-07,97.11,--,--,2.89
ma-08,70.44,29.36,41.08,0.20
ma-09,56.44,43.42,13.02,0.14
md-01,37.37,59.41,-22.04,3.22
md-02,58.16,39.52,18.64,2.32
md-03,59.29,37.87,21.42,2.84
md-04,88.42,11.24,77.18,0.34
md-05,67.75,32.01,35.74,0.24
md-06,53.05,46.72,6.33,0.23
md-07,80.25,17.16,63.09,2.59
md-08,76.8,20.46,56.34,2.74
me-01,58.7,36.39,22.31,4.91
me-02,50.35,49.65,0.70,0.00
mi-01,37.92,59.15,-21.23,2.93
mi-02,31.69,65.14,-33.45,3.17
mi-03,53.66,43.77,9.89,2.57
mi-04,43.36,55.07,-11.71,1.57
mi-05,32.76,65.68,-32.92,1.56
mi-06,62.02,35,27.02,2.98
mi-07,46.56,50.28,-3.72,3.16
mi-08,51.25,44.61,6.64,4.14
mi-09,29.5,66.76,-37.26,3.74
mi-10,44.99,51.13,-6.14,3.88
mi-11,58.22,39.61,18.61,2.17
mi-12,69.7,25.44,44.26,4.86
mi-13,68.64,24.54,44.10,6.82
mn-01,41.41,58.51,-17.10,0.08
mn-02,55.53,42.08,13.45,2.39
mn-03,58.43,41.45,16.98,0.12
mn-04,67.25,32.58,34.67,0.17
mn-05,74.37,24.56,49.81,1.07
mn-06,37.42,62.45,-25.03,0.13
mn-07,29.44,70.45,-41.01,0.11
mn-08,41.92,57.99,-16.07,0.09
mo-01,75.93,18.37,57.56,5.70
mo-02,42.5,54.49,-11.99,3.01
mo-03,35.3,61.31,-26.01,3.39
mo-04,26.41,71.07,-44.66,2.52
mo-05,60.22,36.44,23.78,3.34
mo-06,26.92,70.69,-43.77,2.39
mo-07,26.27,71.56,-45.29,2.17
mo-08,21.81,76.18,-54.37,2.01
ms-01,30.19,69.81,-39.62,0.00
ms-02,62.02,37.98,24.04,0.00
ms-03,--,100,--,0.00
ms-04,26.05,73.95,-47.90,0.00
mt-01,44.62,52.29,-7.67,3.09
mt-02,34.01,65.99,-31.98,0.00
nc-01,49.52,47.84,1.68,2.64
nc-02,66.25,31.61,34.64,2.14
nc-03,--,77.38,--,22.62
nc-04,71.85,26.14,45.71,2.01
nc-05,40.53,59.47,-18.94,0.00
nc-06,--,69.16,--,30.84
nc-07,41.41,58.59,-17.18,0.00
nc-08,40.39,59.61,-19.22,0.00
nc-09,37.75,56.3,-18.55,5.95
nc-10,38.21,57.49,-19.28,4.30
nc-11,43.23,56.77,-13.54,0.00
nc-12,74.02,25.98,48.04,0.00
nc-13,41.36,58.64,-17.28,0.00
nc-14,41.94,58.06,-16.12,0.00
nd-00,30.36,69.24,-38.88,0.40
ne-01,39.9,60.1,-20.20,0.00
ne-02,49.07,50.93,-1.86,0.00
ne-03,19.58,80.42,-60.84,0.00
nh-01,54,45.93,8.07,0.07
nh-02,52.93,46.97,5.96,0.10
nj-01,57.83,39.99,17.84,2.18
nj-02,41.2,58.11,-16.91,0.69
nj-03,53.24,44.65,8.59,2.11
nj-04,31.66,67.39,-35.73,0.95
nj-05,54.56,43.28,11.28,2.16
nj-06,56.07,40.34,15.73,3.59
nj-07,46.37,51.77,-5.40,1.86
nj-08,59.17,34.64,24.53,6.19
nj-09,50.78,45.89,4.89,3.33
nj-10,74.42,22.24,52.18,3.34
nj-11,56.53,41.79,14.74,1.68
nj-12,61.2,36.44,24.76,2.36
nm-01,56.37,43.63,12.74,0.00
nm-02,52.08,47.92,4.16,0.00
nm-03,56.29,43.71,12.58,0.00
nv-01,51.99,44.49,7.50,3.52
nv-02,--,55.04,--,44.96
nv-03,51.37,48.63,2.74,0.00
nv-04,52.66,44.57,8.09,2.77
ny-01,44.29,48.96,-4.67,6.75
ny-02,38.31,53.18,-14.87,8.51
ny-03,51.08,44.39,6.69,4.53
ny-04,50.75,45.18,5.57,4.07
ny-05,72.68,24.46,48.22,2.86
ny-06,60.5,35.06,25.44,4.44
ny-07,58.57,27.76,30.81,13.67
ny-08,75.08,21.61,53.47,3.31
ny-09,73.46,21.83,51.63,4.71
ny-10,81.01,14.75,66.26,4.24
ny-11,35.76,58.5,-22.74,5.74
ny-12,75.03,19.44,55.59,5.53
ny-13,83.02,14.65,68.37,2.33
ny-14,61.53,28.13,33.40,10.34
ny-15,76.21,18.99,57.22,4.80
ny-16,71.35,28.32,43.03,0.33
ny-17,45.82,47.67,-1.85,6.51
ny-18,52.23,38.18,14.05,9.59
ny-19,45.06,43.46,1.60,11.48
ny-20,54.44,33.12,21.32,12.44
ny-21,34.79,56.06,-21.27,9.15
ny-22,50,39.82,10.18,10.18
ny-23,34.19,56.96,-22.77,8.85
ny-24,34.31,57.62,-23.31,8.07
ny-25,55.6,39.15,16.45,5.25
ny-26,59.34,29.58,29.76,11.08
oh-01,54.58,45.42,9.16,0.00
oh-02,26.44,73.56,-47.12,0.00
oh-03,70.74,29.26,41.48,0.00
oh-04,31.54,68.46,-36.92,0.00
oh-05,32.49,67.51,-35.02,0.00
oh-06,33.26,66.74,-33.48,0.00
oh-07,36.12,51.08,-14.96,12.80
oh-08,37.19,62.81,-25.62,0.00
oh-09,48.27,47.63,0.64,4.10
oh-10,39.22,57.64,-18.42,3.14
oh-11,78.33,19.64,58.69,2.03
oh-12,31.49,68.51,-37.02,0.00
oh-13,51.11,48.89,2.22,0.00
oh-14,36.58,63.42,-26.84,0.00
oh-15,43.54,56.46,-12.92,0.00
ok-01,34.53,60.43,-25.90,5.04
ok-02,21.44,74.18,-52.74,4.38
ok-03,--,0,--,--
ok-04,28.27,65.25,-36.98,6.48
ok-05,39.31,60.69,-21.38,0.00
or-01,68.63,28.1,40.53,3.27
or-02,32.81,63.9,-31.09,3.29
or-03,67.71,25.22,42.49,7.07
or-04,51.71,43.94,7.77,4.35
or-05,47.69,44.96,2.73,7.35
or-06,53.34,46.49,6.85,0.17
pa-01,43.6,56.4,-12.80,0.00
pa-02,71.46,28.54,42.92,0.00
pa-03,100,--,--,0.00
pa-04,59.07,40.93,18.14,0.00
pa-05,65.29,34.71,30.58,0.00
pa-06,56.2,43.8,12.40,0.00
pa-07,49.5,50.5,-1.00,0.00
pa-08,49.19,50.81,-1.62,0.00
pa-09,29.49,70.51,-41.02,0.00
pa-10,49.37,50.63,-1.26,0.00
pa-11,37.1,62.9,-25.80,0.00
pa-12,56.41,43.59,12.82,0.00
pa-13,25.8,74.2,-48.40,0.00
pa-14,33.43,66.57,-33.14,0.00
pa-15,28.53,71.47,-42.94,0.00
pa-16,36.35,63.65,-27.30,0.00
pa-17,53.88,46.12,7.76,0.00
ri-01,63.02,31.99,31.03,4.99
ri-02,58.24,41.51,16.73,0.25
sc-01,41.6,58.22,-16.62,0.18
sc-02,40.25,59.53,-19.28,0.22
sc-03,25.3,71.66,-46.36,3.04
sc-04,37.23,59.73,-22.50,3.04
sc-05,36.34,63.51,-27.17,0.15
sc-06,59.5,36.72,22.78,3.78
sc-07,34.97,64.9,-29.93,0.13
sd-00,27.96,72.04,-44.08,0.00
tn-01,19.39,78.08,-58.69,2.53
tn-02,30.74,69.26,-38.52,0.00
tn-03,29.36,67.51,-38.15,3.13
tn-04,26.76,69.95,-43.19,3.29
tn-05,39.47,56.85,-17.38,3.68
