OH-11,D+28
OH-12,R+16
OH-13,EVEN
OH-14,R+9
OH-15,R+4
OK-01,R+11
OK-02,R+28
OK-03,R+23
OK-04,R+17
OK-05,R+9
OR-01,D+20
OR-02,R+14
OR-03,D+24
OR-04,D+6
OR-05,D+4
OR-06,D+6
PA-01,D+1
PA-02,D+19
PA-03,D+40
PA-04,D+8
PA-05,D+15
PA-06,D+6
PA-07,R+1
PA-08,R+4
PA-09,R+19
PA-10,R+3
PA-11,R+11
PA-12,D+10
PA-13,R+23
PA-14,R+17
PA-15,R+19
PA-16,R+11
PA-17,D+3
RI-01,D+12
RI-02,D+4
SC-01,R+6
SC-02,R+7
SC-03,R+21
SC-04,R+11
SC-05,R+11
SC-06,D+13
SC-07,R+12
SD-00,R+15
TN-01,R+29
TN-02,R+17
TN-03,R+18
TN-04,R+21
TN-05,R+8
TN-06,R+17
TN-07,R+10
TN-08,R+21
TN-09,D+23
TX-01,R+25
TX-02,R+12
TX-03,R+10
TX-04,R+16
TX-05,R+13
TX-06,R+14
TX-07,D+12
TX-08,R+16
TX-09,D+24
TX-10,R+12
TX-11,R+22
TX-12,R+11
TX-13,R+24
TX-14,R+17
TX-15,R+7
TX-16,D+11
TX-17,R+14
TX-18,D+21
TX-19,R+25
TX-20,D+12
TX-21,R+11
TX-22,R+9
TX-23,R+7
TX-24,R+7
TX-25,R+18
TX-26,R+11
TX-27,R+14
TX-28,R+2
TX-29,D+12
TX-30,D+25
TX-31,R+11
TX-32,D+13
TX-33,D+19
TX-34,EVEN
TX-35,D+19
TX-36,R+18
TX-37,D+26
TX-38,R+10
UT-01,R+10
UT-02,R+10
UT-03,R+10
UT-04,R+14
VT-00,D+17
VA-01,R+3
VA-02,EVEN
VA-03,D+18
VA-04,D+17
VA-05,R+6
VA-06,R+12
VA-07,D+2
VA-08,D+26
VA-09,R+22
VA-10,D+6
VA-11,D+18
WA-01,D+15
WA-02,D+12
WA-03,R+2
WA-04,R+10
WA-05,R+5
WA-06,D+10
WA-07,D+39
WA-08,D+3
WA-09,D+22
WA-10,D+9
WV-01,R+22
WV-02,R+20
WI-01,R+2
WI-02,D+21
WI-03,R+3
WI-04,D+26
WI-05,R+11
WI-06,R+8
WI-07,R+11
WI-08,R+8
WY-00,R+23
