AL-01,R+16
AL-02,R+17
AL-03,R+19
AL-04,R+33
AL-05,R+17
AL-06,R+18
AL-07,D+14
AK-AL,R+8
AZ-01,R+2
AZ-02,R+6
AZ-03,D+24
AZ-04,D+2
AZ-05,R+11
AZ-06,R+3
AZ-07,D+15
AZ-08,R+10
AZ-09,R+16
AR-01,R+22
AR-02,R+9
AR-03,R+15
AR-04,R+20
CA-01,R+12
CA-02,D+23
CA-03,R+4
CA-04,D+17
CA-05,R+9
CA-06,D+7
CA-07,D+17
CA-08,D+26
CA-09,D+5
CA-10,D+18
CA-11,D+37
CA-12,D+40
CA-13,D+4
CA-14,D+22
CA-15,D+28
CA-16,D+26
CA-17,D+23
CA-18,D+21
CA-19,D+18
CA-20,R+16
CA-21,D+9
CA-22,D+5
CA-23,R+8
CA-24,D+13
CA-25,D+6
CA-26,D+8
CA-27,D+4
CA-28,D+16
CA-29,D+26
CA-30,D+23
CA-31,D+15
CA-32,D+20
CA-33,D+12
CA-34,D+32
CA-35,D+13
CA-36,D+21
CA-37,D+37
CA-38,D+14
CA-39,D+12
CA-40,R+2
CA-41,R+3
CA-42,D+22
CA-43,D+32
CA-44,D+24
CA-45,D+2
CA-46,D+15
CA-47,D+3
CA-48,R+9
CA-49,D+3
CA-50,D+14
CA-51,D+12
CA-52,D+18
CO-01,D+29
CO-02,D+17
CO-03,R+7
CO-04,R+13
CO-05,R+9
CO-06,D+9
CO-07,D+4
CO-08,EVEN
CT-01,D+12
CT-02,D+3
CT-03,D+7
CT-04,D+13
CT-05,D+3
DE-AL,D+7
FL-01,R+19
FL-02,R+8
FL-03,R+9
FL-04,R+6
FL-05,R+11
FL-06,R+14
FL-07,R+5
FL-08,R+11
FL-09,D+8
FL-10,D+14
FL-11,R+8
FL-12,R+17
FL-13,R+6
FL-14,D+8
FL-15,R+4
FL-16,R+7
FL-17,R+10
FL-18,R+13
FL-19,R+13
FL-20,D+25
FL-21,R+7
FL-22,D+7
FL-23,D+5
FL-24,D+25
FL-25,D+9
FL-26,R+8
FL-27,EVEN
FL-28,R+2
GA-01,R+9
GA-02,D+3
GA-03,R+18
GA-04,D+27
GA-05,D+32
GA-06,R+11
GA-07,D+10
GA-08,R+16
GA-09,R+22
GA-10,R+15
GA-11,R+11
GA-12,R+8
GA-13,D+28
GA-14,R+22
HI-01,D+14
HI-02,D+14
ID-01,R+22
ID-02,R+15
IL-01,D+20
IL-02,D+19
IL-03,D+20
IL-04,D+22
IL-05,D+18
IL-06,D+3
IL-07,D+36
IL-08,D+6
IL-09,D+19
IL-10,D+11
IL-11,D+5
IL-12,R+24
IL-13,D+3
IL-14,D+4
IL-15,R+22
IL-16,R+13
IL-17,D+2
IN-01,D+3
IN-02,R+14
IN-03,R+18
IN-04,R+18
IN-05,R+11
IN-06,R+19
IN-07,D+19
IN-08,R+19
IN-09,R+16
IA-01,R+3
IA-02,R+4
IA-03,R+3
IA-04,R+16
KS-01,R+18
KS-02,R+11
KS-03,R+1
KS-04,R+14
KY-01,R+24
KY-02,R+21
KY-03,D+9
KY-04,R+19
KY-05,R+32
KY-06,R+9
LA-01,R+23
LA-02,D+25
LA-03,R+21
LA-04,R+14
LA-05,R+17
LA-06,R+19
ME-01,D+9
ME-02,R+6
MD-01,R+11
MD-02,D+7
MD-03,D+10
MD-04,D+40
MD-05,D+15
MD-06,D+2
MD-07,D+30
MD-08,D+29
MA-01,D+9
MA-02,D+13
MA-03,D+11
MA-04,D+12
MA-05,D+23
MA-06,D+11
MA-07,D+35
MA-08,D+15
MA-09,D+6
MI-01,R+13
MI-02,R+16
MI-03,D+1
MI-04,R+5
MI-05,R+15
MI-06,D+11
MI-07,R+2
MI-08,R+1
MI-09,R+18
MI-10,R+3
MI-11,D+7
MI-12,D+23
MI-13,D+23
MN-01,R+7
MN-02,D+1
MN-03,D+8
MN-04,D+17
MN-05,D+30
MN-06,R+12
MN-07,R+19
MN-08,R+8
MS-01,R+18
MS-02,D+11
MS-03,R+15
MS-04,R+22
MO-01,D+27
MO-02,R+7
MO-03,R+16
MO-04,R+23
MO-05,D+11
MO-06,R+21
MO-07,R+24
MO-08,R+28
MT-01,R+6
MT-02,R+16
NE-01,R+9
NE-02,EVEN
NE-03,R+29
NV-01,D+3
NV-02,R+8
NV-03,D+1
NV-04,D+3
NH-01,EVEN
NH-02,D+2
NJ-01,D+10
NJ-02,R+5
NJ-03,D+5
NJ-04,R+14
NJ-05,D+4
NJ-06,D+8
NJ-07,R+1
NJ-08,D+22
NJ-09,D+8
NJ-10,D+30
NJ-11,D+6
NJ-12,D+12
NM-01,D+5
NM-02,D+1
NM-03,D+4
NY-01,R+3
NY-02,R+3
NY-03,D+2
NY-04,D+5
NY-05,D+30
NY-06,D+15
NY-07,D+31
NY-08,D+26
NY-09,D+25
NY-10,D+35
NY-11,R+6
NY-12,D+34
NY-13,D+38
NY-14,D+28
NY-15,D+35
NY-16,D+20
NY-17,D+3
NY-18,D+1
NY-19,EVEN
NY-20,D+7
NY-21,R+9
NY-22,D+1
NY-23,R+12
NY-24,R+11
NY-25,D+7
NY-26,D+9
NC-01,D+2
NC-02,D+12
NC-03,R+15
NC-04,D+16
NC-05,R+13
NC-06,D+4
NC-07,R+8
NC-08,R+20
NC-09,R+6
NC-10,R+22
NC-11,R+8
NC-12,D+13
NC-13,R+2
NC-14,D+6
ND-AL,R+20
OH-01,D+2
OH-02,R+25
OH-03,D+20
OH-04,R+20
OH-05,R+15
OH-06,R+16
OH-07,R+7
OH-08,R+14
OH-09,R+3
OH-10,R+4
OH-11,D+28
OH-12,R+18
OH-13,R+1
OH-14,R+9
OH-15,R+6
OK-01,R+14
OK-02,R+29
OK-03,R+24
OK-04,R+19
OK-05,R+12
OR-01,D+18
OR-02,R+15
OR-03,D+22
OR-04,D+4
OR-05,D+2
OR-06,D+4
PA-01,EVEN
PA-02,D+20
PA-03,D+39
PA-04,D+7
PA-05,D+14
PA-06,D+5
PA-07,R+2
PA-08,R+4
PA-09,R+21
PA-10,R+5
PA-11,R+13
PA-12,D+8
PA-13,R+25
PA-14,R+18
PA-15,R+21
PA-16,R+13
PA-17,EVEN
RI-01,D+12
RI-02,D+4
SC-01,R+7
SC-02,R+8
SC-03,R+21
SC-04,R+12
SC-05,R+12
SC-06,D+14
SC-07,R+11
SD-AL,R+16
TN-01,R+30
TN-02,R+18
TN-03,R+19
TN-04,R+22
TN-05,R+9
TN-06,R+17
TN-07,R+10
TN-08,R+21
TN-09,D+22
TX-01,R+26
TX-02,R+15
TX-03,R+11
