CD,DEM,REP,MARGIN,REMAIN
ak-00,54.96,45.04,+9.92,0.00
al-01,--,83.61,--,16.39
al-02,29.16,69.09,-39.93,1.75
al-03,25.14,71.22,-46.08,3.64
al-04,13.64,84.12,-70.48,2.24
al-05,29.55,67.09,-37.54,3.36
al-06,--,83.73,--,16.27
al-07,63.54,34.76,+28.78,1.70
ar-01,26.2,73.8,-47.60,0.00
ar-02,35.26,60.04,-24.78,4.70
ar-03,32.89,63.69,-30.80,3.42
ar-04,26.19,71,-44.81,2.81
az-01,49.56,50.44,-0.88,0.00
az-02,46.12,53.86,-7.74,0.02
az-03,76.98,23.02,+53.96,0.00
az-04,56.1,43.89,+12.21,0.01
az-05,37.39,56.74,-19.35,5.87
az-06,49.23,50.73,-1.50,0.04
az-07,64.54,35.46,+29.08,0.00
az-08,--,96.5,--,3.50
az-09,--,97.77,--,2.23
ca-01,37.93,62.07,-24.14,0.00
ca-02,74.4,25.6,+48.80,0.00
ca-03,46.35,53.65,-7.30,0.00
ca-04,67.8,32.2,+35.60,0.00
ca-05,38.69,61.31,-22.62,0.00
ca-06,55.95,44.05,+11.90,0.00
ca-07,68.26,31.74,+36.52,0.00
ca-08,75.73,24.27,+51.46,0.00
ca-09,54.82,45.18,+9.64,0.00
ca-10,78.93,--,--,21.07
ca-11,83.95,16.05,+67.90,0.00
ca-12,90.47,9.53,+80.94,0.00
ca-13,49.79,50.21,-0.42,0.00
ca-14,69.34,30.66,+38.68,0.00
ca-15,100,--,--,0.00
ca-16,100,--,--,0.00
ca-17,100,--,--,0.00
ca-18,65.85,34.15,+31.70,0.00
ca-19,68.65,31.35,+37.30,0.00
ca-20,32.75,67.25,-34.50,0.00
ca-21,54.18,45.82,+8.36,0.00
ca-22,48.48,51.52,-3.04,0.00
ca-23,38.97,61.03,-22.06,0.00
ca-24,60.57,39.43,+21.14,0.00
ca-25,57.38,42.62,+14.76,0.00
ca-26,54.53,45.47,+9.06,0.00
ca-27,46.76,53.24,-6.48,0.00
ca-28,66.24,33.76,+32.48,0.00
ca-29,100,--,--,0.00
ca-30,100,--,--,0.00
ca-31,59.54,40.46,+19.08,0.00
ca-32,69.17,30.83,+38.34,0.00
ca-33,57.71,42.29,+15.42,0.00
ca-34,100,--,--,0.00
ca-35,57.36,42.64,+14.72,0.00
ca-36,69.75,30.25,+39.50,0.00
ca-37,100,--,--,0.00
ca-38,58.09,41.91,+16.18,0.00
ca-39,57.67,42.33,+15.34,0.00
ca-40,43.16,56.84,-13.68,0.00
ca-41,47.65,52.35,-4.70,0.00
ca-42,68.37,31.63,+36.74,0.00
ca-43,77.33,22.67,+54.66,0.00
ca-44,72.21,27.79,+44.42,0.00
ca-45,47.59,52.41,-4.82,0.00
ca-46,61.79,38.21,+23.58,0.00
ca-47,51.72,48.28,+3.44,0.00
ca-48,39.64,60.36,-20.72,0.00
ca-49,52.63,47.37,+5.26,0.00
